,prediction,observed_value,classifier,name_short,matrix,polarity,fold
4,0.9997471,True,pytorch_NN,Myo-inositol 1-phosphate,9AA,negative,5
5,0.13994932,True,pytorch_NN,N-Acetylaspartic acid,9AA,negative,5
6,0.9978229,True,pytorch_NN,N-Acetylaspartylglutamic acid,9AA,negative,5
7,0.9985917,True,pytorch_NN,N-Acetylgalactosamine 6-phosphate,9AA,negative,5
8,0.9982693,True,pytorch_NN,N-Acetylglucosamine,9AA,negative,5
9,0.28944966,True,pytorch_NN,"N6,N6,N6-Trimethyllysine",9AA,negative,5
10,0.061307184,True,pytorch_NN,Nicotinamide adenine dinucleotide (NAD),9AA,negative,5
11,0.9999759,True,pytorch_NN,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,negative,5
12,0.9283747,False,pytorch_NN,Lactic acid,9AA,negative,5
13,0.8642315,False,pytorch_NN,MG 18:1,9AA,negative,5
14,2.7410772e-05,False,pytorch_NN,Niacinamide,9AA,negative,5
15,0.1139719,False,pytorch_NN,Nicotinamide riboside,9AA,negative,5
0,0.99967825,True,pytorch_NN,Ornithine,9AA,negative,6
1,0.99999535,True,pytorch_NN,Orotic acid,9AA,negative,6
2,1.0,True,pytorch_NN,Oxidized glutathione,9AA,negative,6
3,0.99865085,True,pytorch_NN,PA 16:0-18:1,9AA,negative,6
4,0.4287271,True,pytorch_NN,PC (O) C16-18:1,9AA,negative,6
5,0.6536174,True,pytorch_NN,PC 15:0-18:1,9AA,negative,6
6,0.99815196,True,pytorch_NN,PE 18:0-20:4,9AA,negative,6
7,0.99920565,True,pytorch_NN,PG 16:0-18:1,9AA,negative,6
8,0.99985135,True,pytorch_NN,PI 16:0-18:1,9AA,negative,6
9,0.9999925,True,pytorch_NN,PI(5)P 18:1,9AA,negative,6
10,0.9989072,True,pytorch_NN,PS (POPS) 16:0-18:1,9AA,negative,6
11,0.9999999,True,pytorch_NN,Palmitoyl-CoA,9AA,negative,6
12,0.99457717,False,pytorch_NN,Nicotinamide ribotide,9AA,negative,6
