,observed_value,prediction,regressor,name_short,matrix,polarity,fold
12,0.0,3.9299634552498466,MLP,Estradiol,9AA,negative,4
13,0.0,4.050495355502036,MLP,Glucosamine,9AA,negative,4
14,0.0,3.93171218284615,MLP,Glycerophosphocholine,9AA,negative,4
15,0.0,3.9273055277437185,MLP,Homocysteine,9AA,negative,4
0,2.730207868451544,3.8342216118779002,MLP,L-Dopa,9AA,negative,5
1,5.33188795094239,4.199786710272891,MLP,Lyso PE 18:0,9AA,negative,5
2,5.418025657165832,3.9198968111259394,MLP,Lyso PS 17:1,9AA,negative,5
3,4.851807597865303,3.9351990655905844,MLP,Malonic acid,9AA,negative,5
4,2.7870869198414447,3.9278891571903083,MLP,Methionine,9AA,negative,5
5,5.44490784014757,3.8670789478842726,MLP,N-Acetylaspartic acid,9AA,negative,5
6,4.4439848341450245,4.2853578701394595,MLP,N-Acetylaspartylglutamic acid,9AA,negative,5
7,4.488955451051042,4.205446053709282,MLP,N-Acetylgalactosamine 6-phosphate,9AA,negative,5
8,3.7076340212092274,4.323973685354093,MLP,N-Acetylglucosamine,9AA,negative,5
9,1.729300509816929,4.3313545753291365,MLP,"N6,N6,N6-Trimethyllysine",9AA,negative,5
10,3.602995538986097,3.835898775915201,MLP,Orotic acid,9AA,negative,5
11,4.668582133388854,3.8380948008730122,MLP,PA 16:0-18:1,9AA,negative,5
12,0.0,3.8720264670636046,MLP,Lactic acid,9AA,negative,5
13,0.0,3.8782558676940977,MLP,MG 18:1,9AA,negative,5
14,0.0,4.335737616695355,MLP,Niacinamide,9AA,negative,5
15,0.0,4.271021998252784,MLP,Nicotinic acid,9AA,negative,5
0,3.6018092441804175,3.8966001367032934,MLP,Nicotinamide adenine dinucleotide (NAD),9AA,negative,6
1,5.15376747032566,4.111475350972849,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,negative,6
2,2.254812102017839,3.964514395211495,MLP,Ornithine,9AA,negative,6
3,5.544729838944959,4.562338484297268,MLP,Oxidized glutathione,9AA,negative,6
4,2.391174556253051,4.11567706510207,MLP,PC (O) C16-18:1,9AA,negative,6
5,2.772209450568026,3.9237708893398366,MLP,PC 15:0-18:1,9AA,negative,6
6,2.9170905417548116,3.8899010307682196,MLP,PE 18:0-20:4,9AA,negative,6
7,4.952913805825025,4.17371920949368,MLP,PG 16:0-18:1,9AA,negative,6
8,4.987449242191788,4.110895503651166,MLP,PI 16:0-18:1,9AA,negative,6
9,4.745119296674954,4.07346116645104,MLP,PI(5)P 18:1,9AA,negative,6
10,5.004369745474085,3.9591565585036266,MLP,PS (POPS) 16:0-18:1,9AA,negative,6
11,3.099428103824812,3.92219401031101,MLP,Pantetheine,9AA,negative,6
12,0.0,3.898064086517495,MLP,Nicotinamide riboside,9AA,negative,6
13,0.0,4.805096861085289,MLP,Nicotinamide ribotide,9AA,negative,6
14,0.0,4.109277621831964,MLP,Palmitic acid,9AA,negative,6
15,0.0,4.043257397136491,MLP,Putrescine,9AA,negative,6
0,5.3150044901945455,4.108788052927396,MLP,Palmitoyl-CoA,9AA,negative,7
1,3.828050696850258,3.975668172744925,MLP,Pantothenic acid,9AA,negative,7
2,3.1226056211198427,3.963602578250679,MLP,Phenylalanine,9AA,negative,7
3,3.488606621266416,4.136693556010562,MLP,Phosphocreatine,9AA,negative,7
4,5.197866060993347,3.9828816880490896,MLP,Phosphoenolpyruvic acid,9AA,negative,7
5,2.8448850221755446,4.339250893959886,MLP,Proline,9AA,negative,7
6,3.659129094916607,4.0960897990522644,MLP,Prostaglandin E1,9AA,negative,7
7,3.824465344853523,4.13341500824713,MLP,Pyridoxine,9AA,negative,7
8,4.467389056433673,3.9613547238280544,MLP,Riboflavin,9AA,negative,7
9,2.514232555669227,3.9602671452017786,MLP,Ribulose,9AA,negative,7
10,4.866126392151314,3.9525429971266064,MLP,Ribulose 5-phosphate,9AA,negative,7
11,3.2399092583674163,3.9440531137567207,MLP,SM d18:1-16:0,9AA,negative,7
12,0.0,3.9627942615594316,MLP,Oxalacetic acid,9AA,negative,7
13,0.0,3.9886602743559596,MLP,Phylloquinone,9AA,negative,7
14,0.0,3.9442191943011182,MLP,Retinoic acid,9AA,negative,7
15,0.0,3.9792468854813343,MLP,S-Adenosylmethionine,9AA,negative,7
0,4.404749585288414,3.8463937667227874,MLP,Quinolinic acid,9AA,negative,8
1,4.30198961384967,3.8069457534686464,MLP,S-Adenosylhomocysteine,9AA,negative,8
2,3.60146760068405,3.8389312624792375,MLP,Serine,9AA,negative,8
3,4.78146499660177,4.117798030405785,MLP,Succinic acid,9AA,negative,8
4,5.533163212938402,3.803323692426933,MLP,Sulfo GalCer 18:0(2S-OH),9AA,negative,8
5,5.31997602897959,3.8132427192497853,MLP,Taurine,9AA,negative,8
6,4.270315973022902,4.008073876442386,MLP,Thymine,9AA,negative,8
7,4.510950415783443,4.117245135542893,MLP,Uracil,9AA,negative,8
8,4.4688236998641875,4.1306807854934835,MLP,Ureidosuccinic acid,9AA,negative,8
9,4.9520618226943895,3.8524476829126915,MLP,Uric acid,9AA,negative,8
10,3.3019065026843375,4.724953133575753,MLP,Uridine,9AA,negative,8
11,5.935435495502642,4.1167542445873515,MLP,Uridine diphosphate,9AA,negative,8
12,0.0,3.8171146972702674,MLP,Propionylcarnitine,9AA,negative,8
13,0.0,3.801464402766024,MLP,Pyruvic acid,9AA,negative,8
14,0.0,4.161755940756856,MLP,Serotonin,9AA,negative,8
15,0.0,3.8979862308349027,MLP,Spermidine,9AA,negative,8
0,5.992546007079303,4.079433942178124,MLP,Taurocholic acid,9AA,negative,9
1,2.41442478840722,4.10168831428077,MLP,Tryptophan,9AA,negative,9
2,2.131818765774426,4.00900839320005,MLP,Tyrosine,9AA,negative,9
3,5.630456576161583,3.92349773958087,MLP,Uridine diphosphate glucose,9AA,negative,9
4,5.077807537596156,4.229747173794226,MLP,Uridine diphosphate glucuronic acid,9AA,negative,9
5,6.029128849135831,4.117381001693133,MLP,Uridine diphosphate-N-acetylglucosamine,9AA,negative,9
6,4.532083482186899,3.7998159107908265,MLP,Urocanic acid,9AA,negative,9
7,3.1713776789954284,3.981179655462713,MLP,Valine,9AA,negative,9
8,4.873407036419803,4.1415808916801256,MLP,Xanthine,9AA,negative,9
9,4.852406059687796,3.7974208736603567,MLP,cis-Aconitic acid,9AA,negative,9
10,2.9715890912775222,4.133206464651113,MLP,gamma-Aminobutyric acid,9AA,negative,9
11,2.8644638578656383,4.064041722730584,MLP,myo-Inositol,9AA,negative,9
12,0.0,3.9712551116133183,MLP,TG 15:0-18:1-15:0,9AA,negative,9
13,0.0,3.922809528223936,MLP,Tetrahydrofolic acid,9AA,negative,9
14,0.0,4.230585374940817,MLP,Thiamine,9AA,negative,9
15,0.0,3.8961854902550264,MLP,alpha-tocopherol,9AA,negative,9
0,2.3378258507457588,3.2948060853559182,MLP,4-Hydroxyproline,9AA,positive,0
1,4.886191877946075,3.1301899651851235,MLP,Acetylcarnitine,9AA,positive,0
2,5.2850299174302515,2.7673430070538556,MLP,Acetylcholine,9AA,positive,0
3,2.8477399012549363,2.7767071769663283,MLP,Adenosine monophosphate,9AA,positive,0
4,4.369543585782956,2.998722283457643,MLP,Agmatine,9AA,positive,0
5,3.69311947904992,2.987604048032986,MLP,Arginine,9AA,positive,0
6,5.9376349305790495,3.1344996935031944,MLP,CAR 16:0,9AA,positive,0
7,0.0,3.1705614387951635,MLP,2-Oxoglutaric acid,9AA,positive,0
8,0.0,2.957261213403842,MLP,3-Hydroxyanthranilic acid,9AA,positive,0
9,0.0,2.8567436246412017,MLP,3-Hydroxymethylglutaric acid,9AA,positive,0
10,0.0,3.035547206363929,MLP,3-Phosphoglyceric acid,9AA,positive,0
11,0.0,2.97603237757129,MLP,"4,5-Dihydroorotic acid",9AA,positive,0
12,0.0,3.159018584641262,MLP,5-Hydroxyindoleacetic acid,9AA,positive,0
13,0.0,2.9716500254574356,MLP,Acetyl-CoA,9AA,positive,0
14,0.0,3.0487416376507994,MLP,Adenine,9AA,positive,0
15,0.0,3.122099372383626,MLP,Adenosine diphosphate,9AA,positive,0
0,1.2014110816106518,3.1797884263358025,MLP,Argininosuccinic acid,9AA,positive,1
1,5.115115150204343,3.244530352530506,MLP,Carnitine,9AA,positive,1
2,2.84879006028283,3.2613769810518303,MLP,Carnosine,9AA,positive,1
3,2.562091102683384,3.146529772039568,MLP,Cer d8:1/22:0 Cer,9AA,positive,1
4,2.880629292318222,3.1922600998704564,MLP,Cholic acid,9AA,positive,1
5,2.30605354157181,3.401389810458829,MLP,Citrulline,9AA,positive,1
6,2.6874666930122495,3.2546172542862295,MLP,Creatine,9AA,positive,1
7,0.0,3.220806835179839,MLP,Acetoacetic acid,9AA,positive,1
8,0.0,3.1313924180924193,MLP,Ascorbic acid,9AA,positive,1
9,0.0,3.30106814104096,MLP,Asparagine,9AA,positive,1
10,0.0,3.083955812227556,MLP,Aspartic acid,9AA,positive,1
11,0.0,3.1410008146481694,MLP,Biotin,9AA,positive,1
12,0.0,3.133329244071824,MLP,Butyric acid,9AA,positive,1
13,0.0,3.4187635466643744,MLP,Cardiolipin 18:1,9AA,positive,1
14,0.0,3.1393978404642353,MLP,Cholecalciferol,9AA,positive,1
15,0.0,3.161996047129941,MLP,Coenzyme A,9AA,positive,1
0,5.666215272916145,2.9930815634350383,MLP,Choline,9AA,positive,2
1,2.8916154419314215,3.2749018078065646,MLP,Creatinine,9AA,positive,2
2,2.484365861328573,3.1856346355398726,MLP,Cyclic adenosine monophosphate,9AA,positive,2
3,2.791869269386008,3.0429786845769993,MLP,Cytidine,9AA,positive,2
4,4.171703915963149,3.1010141476430713,MLP,Cytidine monophosphate,9AA,positive,2
5,1.8834350888853608,3.092797443199381,MLP,Cytosine,9AA,positive,2
6,4.407864386932945,3.1288581348974596,MLP,Folic acid,9AA,positive,2
7,0.0,2.8857897043802687,MLP,Cholesterol,9AA,positive,2
8,0.0,3.190954518474207,MLP,Cholesteryl acetate,9AA,positive,2
9,0.0,3.294966539560566,MLP,Cholesteryl ester 17:0,9AA,positive,2
