,mean_abs_shap_value,std_abs_shap_value,feature_name,matrix,polarity
0,0.2002509418776202,0.2613757332390902,pka_strongest_acidic,pNA,positive
1,0.1755068222791041,0.1885725392284637,polarizability,pNA,positive
2,0.1116339515781763,0.0743993083224607,1,pNA,positive
3,0.0825230156018568,0.1050415823527857,acceptor_count,pNA,positive
4,0.0764168128286573,0.0798855076068919,1380,pNA,positive
5,0.075709282798749,0.0518402217306788,389,pNA,positive
6,0.0737779803418864,0.093099611820972,physiological_charge,pNA,positive
7,0.0702701388547817,0.0512769370419284,1057,pNA,positive
8,0.0643040835635143,0.0861891922506288,pka_strongest_basic,pNA,positive
9,0.0520556373212126,0.0634400097067465,polar_surface_area,pNA,positive
10,0.0445526112894047,0.0506924645903282,donor_count,pNA,positive
11,0.0403186860926463,0.0519767072521308,1873,pNA,positive
12,0.0393664677831111,0.0559839159631506,1171,pNA,positive
13,0.0379185914259516,0.0523877093256404,227,pNA,positive
14,0.0350374167277054,0.0317511434531593,695,pNA,positive
15,0.0349044731606475,0.0390665783502407,1911,pNA,positive
16,0.0305771821070899,0.0438093323213866,1750,pNA,positive
17,0.0298326666315199,0.0297878227568239,192,pNA,positive
18,0.0292761949347826,0.0505462640674309,118,pNA,positive
19,0.0280563128067914,0.02945244083372,1921,pNA,positive
20,0.0273211267984923,0.0262599813469487,1019,pNA,positive
21,0.0268506243599183,0.0239150270601917,656,pNA,positive
22,0.0265740133688792,0.045667479193734,80,pNA,positive
23,0.0251242225933255,0.0401837257875049,1386,pNA,positive
24,0.0238645020279694,0.0279448716813277,1564,pNA,positive
25,0.0219160815785554,0.033960724311035,650,pNA,positive
26,0.0197054107814575,0.0512086981789618,482,pNA,positive
27,0.0195301635317843,0.0249331191140571,1452,pNA,positive
28,0.0193606710258984,0.019675753373856,1152,pNA,positive
29,0.0185495150021531,0.0246783823141975,794,pNA,positive
30,0.0177534683773322,0.0194909720717884,1838,pNA,positive
31,0.0173099398799946,0.0339686312685414,1290,pNA,positive
32,0.016664430455862,0.0322789540739201,694,pNA,positive
33,0.016619591146203,0.0174736082911924,486,pNA,positive
34,0.0164401870120359,0.0329996429083382,401,pNA,positive
35,0.0161351352704293,0.0329189987719755,1356,pNA,positive
36,0.0150052753460565,0.0158431273903832,378,pNA,positive
37,0.01473385372312,0.0184567119599087,1114,pNA,positive
38,0.0145708663671526,0.0276656458103584,807,pNA,positive
39,0.0143699987636258,0.0104852616272037,1257,pNA,positive
