,observed_value,prediction,regressor,name_short,matrix,polarity,fold
0,4.814306627793246,4.507189273028731,MLP,2-Oxoglutaric acid,9AA,negative,0
1,3.754200406487889,3.780017855054719,MLP,3-Hydroxyanthranilic acid,9AA,negative,0
2,5.164587787189345,5.052119352354864,MLP,3-Phosphoglyceric acid,9AA,negative,0
3,4.971478312451223,4.678625241874107,MLP,"4,5-Dihydroorotic acid",9AA,negative,0
4,3.3765543523528434,2.6820101892110313,MLP,4-Hydroxyproline,9AA,negative,0
5,2.4740469582468996,4.66877787287172,MLP,5-Hydroxyindoleacetic acid,9AA,negative,0
6,5.012308835041252,5.470897878412943,MLP,6-Phosphogluconic acid,9AA,negative,0
7,5.311557557961862,4.643216167594439,MLP,Acetyl-CoA,9AA,negative,0
8,3.4068141934002796,3.3635262432724917,MLP,Adenine,9AA,negative,0
9,5.939249906533922,4.603726948545046,MLP,Adenosine diphosphate,9AA,negative,0
10,5.608065874035438,4.416881953435774,MLP,Adenosine monophosphate,9AA,negative,0
11,3.8239163362540958,3.3537479850892393,MLP,Arginine,9AA,negative,0
12,3.9789439936786417,4.183165636055459,MLP,Ascorbic acid,9AA,negative,0
13,0.0,4.908175806289401,MLP,3-Hydroxymethylglutaric acid,9AA,negative,0
14,0.0,4.5916502910253065,MLP,Acetoacetic acid,9AA,negative,0
15,0.0,2.22716326867577,MLP,Acetylcarnitine,9AA,negative,0
16,0.0,3.2909219189009136,MLP,Agmatine,9AA,negative,0
17,0.0,0.49248998017179185,MLP,Cholecalciferol,9AA,negative,0
0,4.443890343962045,4.86774823853664,MLP,Argininosuccinic acid,9AA,negative,1
1,3.055972327319788,3.59064812457008,MLP,Asparagine,9AA,negative,1
2,4.208115674739658,4.480886734440734,MLP,Aspartic acid,9AA,negative,1
3,3.3752408900526563,5.103858056247832,MLP,Cardiolipin 18:1,9AA,negative,1
4,1.8790650130886557,2.8425073930353446,MLP,Carnitine,9AA,negative,1
5,5.079465529733637,2.911202377645515,MLP,Carnosine,9AA,negative,1
6,2.4966527593328354,2.316766114162856,MLP,Cer d8:1/22:0 Cer,9AA,negative,1
7,4.2583717408536526,3.3842720565623536,MLP,Cholic acid,9AA,negative,1
8,5.206625379926532,4.9684960189939815,MLP,Citric acid,9AA,negative,1
9,4.08369265554015,3.6887403048021974,MLP,Citrulline,9AA,negative,1
10,4.29330833634685,4.956327366755089,MLP,Dihydroxyacetone phosphate,9AA,negative,1
11,5.116510282418326,4.6827643257494085,MLP,Flavin mononucleotide,9AA,negative,1
12,5.577610157677287,4.497916031119959,MLP,"Fructose 1,6-bisphosphate",9AA,negative,1
13,0.0,1.9947594318814705,MLP,Acetylcholine,9AA,negative,1
14,0.0,3.5722850892573175,MLP,Biotin,9AA,negative,1
15,0.0,4.600763965441646,MLP,Butyric acid,9AA,negative,1
16,0.0,1.6911418243536984,MLP,Cholesterol,9AA,negative,1
0,3.8008710262539327,5.484043211455668,MLP,Coenzyme A,9AA,negative,2
1,2.4591754069110547,3.7935720473049437,MLP,Creatine,9AA,negative,2
2,3.328813314275123,3.0136794026856597,MLP,Creatinine,9AA,negative,2
3,2.641369768140955,2.753806612877253,MLP,Cysteine,9AA,negative,2
4,3.0412610344968245,3.866682003306708,MLP,Cystine,9AA,negative,2
5,3.0660730662818927,2.8685501216180835,MLP,Cytidine,9AA,negative,2
6,4.124395821511017,6.5120653024798925,MLP,GM3 Ganglioside 18:0,9AA,negative,2
7,4.714115980594938,4.739634459862438,MLP,Gluconic acid,9AA,negative,2
8,3.5630380761253044,3.088362415460797,MLP,Glucose,9AA,negative,2
9,5.087413863450058,5.045527371439099,MLP,Glucose 6-phosphate,9AA,negative,2
10,2.8102276674499054,4.456721204921826,MLP,Glucosyl cholesterol,9AA,negative,2
11,4.724261056382808,4.498998419282576,MLP,Glycerol 3-phosphate,9AA,negative,2
12,0.0,2.0182359372756835,MLP,CAR 16:0,9AA,negative,2
13,0.0,1.0206565176696953,MLP,Cholesteryl acetate,9AA,negative,2
14,0.0,1.702188282431417,MLP,Choline,9AA,negative,2
15,0.0,4.543830971596536,MLP,Cyclic adenosine monophosphate,9AA,negative,2
0,2.5329693079368925,4.013078838580954,MLP,Cytosine,9AA,negative,3
1,2.6664941592236446,2.644835962672477,MLP,Dopamine,9AA,negative,3
2,2.677103883488091,2.8383575096011895,MLP,Epinephrine,9AA,negative,3
