,prediction,observed_value,classifier,name_short,matrix,polarity,fold
4,0.98984665,True,pytorch_NN,Myo-inositol 1-phosphate,9AA,negative,5
5,0.81374305,True,pytorch_NN,N-Acetylaspartic acid,9AA,negative,5
6,0.9576301,True,pytorch_NN,N-Acetylaspartylglutamic acid,9AA,negative,5
7,0.9617486,True,pytorch_NN,N-Acetylgalactosamine 6-phosphate,9AA,negative,5
8,0.934741,True,pytorch_NN,N-Acetylglucosamine,9AA,negative,5
9,0.43637267,True,pytorch_NN,"N6,N6,N6-Trimethyllysine",9AA,negative,5
10,0.652456,True,pytorch_NN,Nicotinamide adenine dinucleotide (NAD),9AA,negative,5
11,0.9936806,True,pytorch_NN,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,negative,5
12,0.93068993,False,pytorch_NN,Lactic acid,9AA,negative,5
13,0.9780392,False,pytorch_NN,MG 18:1,9AA,negative,5
14,0.00081688364,False,pytorch_NN,Niacinamide,9AA,negative,5
15,0.056035675,False,pytorch_NN,Nicotinamide riboside,9AA,negative,5
0,0.96437633,True,pytorch_NN,Ornithine,9AA,negative,6
1,0.99782616,True,pytorch_NN,Orotic acid,9AA,negative,6
2,0.9995578,True,pytorch_NN,Oxidized glutathione,9AA,negative,6
3,0.33990812,True,pytorch_NN,PA 16:0-18:1,9AA,negative,6
4,0.019858032,True,pytorch_NN,PC (O) C16-18:1,9AA,negative,6
5,0.024505503,True,pytorch_NN,PC 15:0-18:1,9AA,negative,6
6,0.88097143,True,pytorch_NN,PE 18:0-20:4,9AA,negative,6
7,0.8244739,True,pytorch_NN,PG 16:0-18:1,9AA,negative,6
8,0.9574202,True,pytorch_NN,PI 16:0-18:1,9AA,negative,6
9,0.9886601,True,pytorch_NN,PI(5)P 18:1,9AA,negative,6
10,0.96200055,True,pytorch_NN,PS (POPS) 16:0-18:1,9AA,negative,6
11,0.9995969,True,pytorch_NN,Palmitoyl-CoA,9AA,negative,6
12,0.45864284,False,pytorch_NN,Nicotinamide ribotide,9AA,negative,6
13,0.1728032,False,pytorch_NN,Nicotinic acid,9AA,negative,6
14,0.9971016,False,pytorch_NN,Oxalacetic acid,9AA,negative,6
15,0.015047738,False,pytorch_NN,Palmitic acid,9AA,negative,6
0,0.38377446,True,pytorch_NN,Pantetheine,9AA,negative,7
1,0.9204068,True,pytorch_NN,Pantothenic acid,9AA,negative,7
2,0.9897036,True,pytorch_NN,Phenylalanine,9AA,negative,7
3,0.999572,True,pytorch_NN,Phosphocreatine,9AA,negative,7
4,0.99330175,True,pytorch_NN,Phosphoenolpyruvic acid,9AA,negative,7
5,0.9964598,True,pytorch_NN,Proline,9AA,negative,7
6,0.97153395,True,pytorch_NN,Prostaglandin E1,9AA,negative,7
7,0.71872073,True,pytorch_NN,Pyridoxine,9AA,negative,7
8,0.9743824,True,pytorch_NN,Quinolinic acid,9AA,negative,7
9,0.9951969,True,pytorch_NN,Riboflavin,9AA,negative,7
10,0.33448368,True,pytorch_NN,Ribulose,9AA,negative,7
