,observed_value,prediction,regressor,name_short,matrix,polarity,fold
0,4.814306627793246,4.0499314555745975,MLP,2-Oxoglutaric acid,9AA,negative,0
1,3.754200406487889,3.7357394710393974,MLP,3-Hydroxyanthranilic acid,9AA,negative,0
2,5.164587787189345,4.016496510956734,MLP,3-Phosphoglyceric acid,9AA,negative,0
3,4.971478312451223,4.035365409644487,MLP,"4,5-Dihydroorotic acid",9AA,negative,0
4,3.3765543523528434,3.9047894150249114,MLP,4-Hydroxyproline,9AA,negative,0
5,2.4740469582468996,3.887117545852048,MLP,5-Hydroxyindoleacetic acid,9AA,negative,0
6,5.012308835041252,3.790978373150227,MLP,6-Phosphogluconic acid,9AA,negative,0
7,5.311557557961862,4.010129221112677,MLP,Acetyl-CoA,9AA,negative,0
8,3.4068141934002796,3.6929327596148305,MLP,Adenine,9AA,negative,0
9,5.939249906533922,4.237543832392267,MLP,Adenosine diphosphate,9AA,negative,0
10,5.608065874035438,4.070154798638967,MLP,Adenosine monophosphate,9AA,negative,0
11,3.8239163362540958,4.020429015649598,MLP,Arginine,9AA,negative,0
12,3.9789439936786417,4.113211669972354,MLP,Ascorbic acid,9AA,negative,0
13,0.0,4.04148569367771,MLP,3-Hydroxymethylglutaric acid,9AA,negative,0
14,0.0,4.01673260061517,MLP,Acetoacetic acid,9AA,negative,0
15,0.0,3.979829091336609,MLP,Acetylcarnitine,9AA,negative,0
16,0.0,4.022356335414589,MLP,Agmatine,9AA,negative,0
17,0.0,4.09036788638513,MLP,Cholecalciferol,9AA,negative,0
0,4.443890343962045,4.054729459191018,MLP,Argininosuccinic acid,9AA,negative,1
1,3.055972327319788,4.126168027794792,MLP,Asparagine,9AA,negative,1
2,4.208115674739658,4.062432545566221,MLP,Aspartic acid,9AA,negative,1
3,3.3752408900526563,4.13249981871494,MLP,Cardiolipin 18:1,9AA,negative,1
4,1.8790650130886557,3.8906417188382276,MLP,Carnitine,9AA,negative,1
5,5.079465529733637,4.091136451756431,MLP,Carnosine,9AA,negative,1
6,2.4966527593328354,3.8600555591765917,MLP,Cer d8:1/22:0 Cer,9AA,negative,1
7,4.2583717408536526,3.7355266128986773,MLP,Cholic acid,9AA,negative,1
8,5.206625379926532,4.2218377497928525,MLP,Citric acid,9AA,negative,1
9,4.08369265554015,3.978192420609257,MLP,Citrulline,9AA,negative,1
10,4.29330833634685,4.1627051528644685,MLP,Dihydroxyacetone phosphate,9AA,negative,1
11,5.116510282418326,4.124058372746866,MLP,Flavin mononucleotide,9AA,negative,1
12,5.577610157677287,4.138685219835961,MLP,"Fructose 1,6-bisphosphate",9AA,negative,1
13,0.0,4.1707649159358215,MLP,Acetylcholine,9AA,negative,1
14,0.0,4.105766919989012,MLP,Biotin,9AA,negative,1
15,0.0,4.162649937114489,MLP,Butyric acid,9AA,negative,1
16,0.0,4.066248508873559,MLP,Cholesterol,9AA,negative,1
0,3.8008710262539327,4.2155759484907565,MLP,Coenzyme A,9AA,negative,2
1,2.4591754069110547,4.327959870804414,MLP,Creatine,9AA,negative,2
2,3.328813314275123,4.2815655932293035,MLP,Creatinine,9AA,negative,2
3,2.641369768140955,4.27705693051366,MLP,Cysteine,9AA,negative,2
4,3.0412610344968245,4.4341561462139145,MLP,Cystine,9AA,negative,2
5,3.0660730662818927,3.9420177474335945,MLP,Cytidine,9AA,negative,2
6,4.124395821511017,4.191455356494906,MLP,GM3 Ganglioside 18:0,9AA,negative,2
7,4.714115980594938,4.1887027219024375,MLP,Gluconic acid,9AA,negative,2
8,3.5630380761253044,3.9263763483610052,MLP,Glucose,9AA,negative,2
9,5.087413863450058,4.9228609233763985,MLP,Glucose 6-phosphate,9AA,negative,2
10,2.8102276674499054,4.18636507101354,MLP,Glucosyl cholesterol,9AA,negative,2
11,4.724261056382808,4.283801555422594,MLP,Glycerol 3-phosphate,9AA,negative,2
12,0.0,4.259313288660561,MLP,CAR 16:0,9AA,negative,2
13,0.0,3.9017909769544374,MLP,Cholesteryl acetate,9AA,negative,2
14,0.0,3.7725020105459666,MLP,Choline,9AA,negative,2
15,0.0,4.480617050560562,MLP,Cyclic adenosine monophosphate,9AA,negative,2
0,2.5329693079368925,4.295519712588827,MLP,Cytosine,9AA,negative,3
1,2.6664941592236446,3.8267702164308477,MLP,Dopamine,9AA,negative,3
2,2.677103883488091,4.105579761131316,MLP,Epinephrine,9AA,negative,3
3,5.016272181276773,3.7714637071518644,MLP,Flavin adenine dinucleotide,9AA,negative,3
4,3.658273354701202,4.125776515865105,MLP,GlcCer d18:1/18:0,9AA,negative,3
5,4.868475789298719,4.139034950755041,MLP,Glucosamine 6-phosphate,9AA,negative,3
6,4.478279984472924,4.089945750758087,MLP,Kynurenic acid,9AA,negative,3
7,2.9337644139328,4.084227821030393,MLP,Lyso PA 18:1,9AA,negative,3
8,3.860524287932711,3.857980495410287,MLP,Lyso PC 15:0,9AA,negative,3
9,5.881912850711523,4.087653186464241,MLP,Lyso PG 16:0,9AA,negative,3
10,5.641773056029051,4.063842338173904,MLP,Lyso PI 17:1,9AA,negative,3
11,5.375443979142473,4.078037586624021,MLP,Malic acid,9AA,negative,3
12,0.0,3.724392565685221,MLP,Cytidine monophosphate,9AA,negative,3
13,0.0,4.036814499358067,MLP,Dihydroxyacetone,9AA,negative,3
14,0.0,4.033455972874179,MLP,Fumaric acid,9AA,negative,3
15,0.0,4.0009015269305745,MLP,Glycerophosphocholine,9AA,negative,3
0,4.543663747937896,3.9846802469955778,MLP,Glutamic acid,9AA,negative,4
1,4.051807045819844,4.096413274653357,MLP,Glutamine,9AA,negative,4
2,3.836147576475278,4.087583405591015,MLP,Glutathione,9AA,negative,4
3,1.7817697815048323,3.856427845035412,MLP,Glycine,9AA,negative,4
4,3.4028146908018333,4.460168616308765,MLP,Guanine,9AA,negative,4
5,2.4855340958804097,4.174007014300706,MLP,Histamine,9AA,negative,4
6,4.851807597865303,3.8273355349662737,MLP,Malonic acid,9AA,negative,4
7,1.7557578089672088,3.995115754322782,MLP,Melatonin,9AA,negative,4
8,4.282931123625906,4.089300629526496,MLP,Mevalonic acid,9AA,negative,4
9,5.187259868417889,4.462967551975628,MLP,Myo-inositol 1-phosphate,9AA,negative,4
10,5.44490784014757,4.116889781322525,MLP,N-Acetylaspartic acid,9AA,negative,4
11,4.4439848341450245,4.0057018901541,MLP,N-Acetylaspartylglutamic acid,9AA,negative,4
12,0.0,3.9131843698913586,MLP,Estradiol,9AA,negative,4
13,0.0,4.156001566428054,MLP,Folic acid,9AA,negative,4
14,0.0,3.71706723463261,MLP,Lactic acid,9AA,negative,4
15,0.0,4.15559286168137,MLP,MG 18:1,9AA,negative,4
0,4.078243606162822,4.162181474971479,MLP,Histidine,9AA,negative,5
1,3.588718548033654,4.185423893870689,MLP,Hypoxanthine,9AA,negative,5
2,2.4949832219523262,4.160413764978303,MLP,Kynurenine,9AA,negative,5
3,2.730207868451544,4.140487660052836,MLP,L-Dopa,9AA,negative,5
4,5.33188795094239,4.23062693463326,MLP,Lyso PE 18:0,9AA,negative,5
5,5.418025657165832,3.667666425671398,MLP,Lyso PS 17:1,9AA,negative,5
6,3.602995538986097,4.1063400095552485,MLP,Orotic acid,9AA,negative,5
7,4.668582133388854,3.999439497804344,MLP,PA 16:0-18:1,9AA,negative,5
8,2.391174556253051,3.7297546127869605,MLP,PC (O) C16-18:1,9AA,negative,5
9,2.772209450568026,3.7002067215650225,MLP,PC 15:0-18:1,9AA,negative,5
10,4.952913805825025,4.161493814218707,MLP,PG 16:0-18:1,9AA,negative,5
11,4.987449242191788,4.104303615757481,MLP,PI 16:0-18:1,9AA,negative,5
12,0.0,4.104399120322943,MLP,Glucosamine,9AA,negative,5
13,0.0,4.1833089832755785,MLP,Homocysteine,9AA,negative,5
14,0.0,4.071188078264604,MLP,Nicotinamide riboside,9AA,negative,5
15,0.0,3.8702680971601735,MLP,Nicotinamide ribotide,9AA,negative,5
0,2.7870869198414447,4.0497912992007485,MLP,Methionine,9AA,negative,6
1,4.488955451051042,3.932160142372957,MLP,N-Acetylgalactosamine 6-phosphate,9AA,negative,6
2,3.7076340212092274,4.071587113404798,MLP,N-Acetylglucosamine,9AA,negative,6
3,1.729300509816929,4.573210219345156,MLP,"N6,N6,N6-Trimethyllysine",9AA,negative,6
4,3.6018092441804175,4.106745504381966,MLP,Nicotinamide adenine dinucleotide (NAD),9AA,negative,6
5,5.15376747032566,3.7892860681414544,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,negative,6
6,2.254812102017839,4.251831244441961,MLP,Ornithine,9AA,negative,6
7,4.745119296674954,4.276016563994588,MLP,PI(5)P 18:1,9AA,negative,6
8,3.099428103824812,3.875318086034136,MLP,Pantetheine,9AA,negative,6
9,3.828050696850258,4.049771658742434,MLP,Pantothenic acid,9AA,negative,6
10,5.197866060993347,3.8194266864034945,MLP,Phosphoenolpyruvic acid,9AA,negative,6
11,3.659129094916607,3.900468679279491,MLP,Prostaglandin E1,9AA,negative,6
12,0.0,4.143727139921563,MLP,Niacinamide,9AA,negative,6
13,0.0,3.915124218359059,MLP,Nicotinic acid,9AA,negative,6
14,0.0,4.151980821706736,MLP,Oxalacetic acid,9AA,negative,6
15,0.0,4.134447065684463,MLP,Palmitic acid,9AA,negative,6
0,5.544729838944959,4.051995058483841,MLP,Oxidized glutathione,9AA,negative,7
1,2.9170905417548116,3.7199860803370215,MLP,PE 18:0-20:4,9AA,negative,7
2,5.004369745474085,4.072344153432354,MLP,PS (POPS) 16:0-18:1,9AA,negative,7
3,5.3150044901945455,4.188712785899271,MLP,Palmitoyl-CoA,9AA,negative,7
4,3.1226056211198427,3.7718864085213837,MLP,Phenylalanine,9AA,negative,7
5,3.488606621266416,4.069970394723439,MLP,Phosphocreatine,9AA,negative,7
6,2.8448850221755446,3.7716159162567915,MLP,Proline,9AA,negative,7
7,4.467389056433673,4.09064956494407,MLP,Riboflavin,9AA,negative,7
