,observed_value,prediction,regressor,name_short,matrix,polarity,fold,iter_index
75,4.282931123625906,3.734611779713509,MLP,Mevalonic acid,9AA,negative,4,0
76,5.187259868417889,5.228101195774031,MLP,Myo-inositol 1-phosphate,9AA,negative,4,0
77,5.44490784014757,4.505030189093195,MLP,N-Acetylaspartic acid,9AA,negative,4,0
78,4.4439848341450245,5.136426514679283,MLP,N-Acetylaspartylglutamic acid,9AA,negative,4,0
79,0.0,2.2760656671689232,MLP,Estradiol,9AA,negative,4,0
80,0.0,5.060524118097566,MLP,Folic acid,9AA,negative,4,0
81,0.0,4.707520445952173,MLP,Lactic acid,9AA,negative,4,0
82,0.0,2.2683298613633323,MLP,MG 18:1,9AA,negative,4,0
83,4.078243606162822,3.303177143706017,MLP,Histidine,9AA,negative,5,0
84,3.588718548033654,3.019141735568723,MLP,Hypoxanthine,9AA,negative,5,0
85,2.4949832219523262,3.493407705105656,MLP,Kynurenine,9AA,negative,5,0
86,2.730207868451544,3.452990046522228,MLP,L-Dopa,9AA,negative,5,0
87,5.33188795094239,3.742566838773708,MLP,Lyso PE 18:0,9AA,negative,5,0
88,5.418025657165832,4.524927318236412,MLP,Lyso PS 17:1,9AA,negative,5,0
89,3.602995538986097,4.465791834685757,MLP,Orotic acid,9AA,negative,5,0
90,4.668582133388854,3.7068820885795866,MLP,PA 16:0-18:1,9AA,negative,5,0
91,2.391174556253051,2.093735000038025,MLP,PC (O) C16-18:1,9AA,negative,5,0
92,2.772209450568026,3.1617538394089526,MLP,PC 15:0-18:1,9AA,negative,5,0
93,4.952913805825025,4.371836130398703,MLP,PG 16:0-18:1,9AA,negative,5,0
94,4.987449242191788,4.913198486445916,MLP,PI 16:0-18:1,9AA,negative,5,0
95,0.0,3.274221205699208,MLP,Glucosamine,9AA,negative,5,0
96,0.0,3.014512973478152,MLP,Homocysteine,9AA,negative,5,0
97,0.0,3.3443271455004067,MLP,Nicotinamide riboside,9AA,negative,5,0
98,0.0,5.710679264349986,MLP,Nicotinamide ribotide,9AA,negative,5,0
99,2.7870869198414447,2.8352310784657884,MLP,Methionine,9AA,negative,6,0
100,4.488955451051042,5.042387773120306,MLP,N-Acetylgalactosamine 6-phosphate,9AA,negative,6,0
101,3.7076340212092274,3.219815788454508,MLP,N-Acetylglucosamine,9AA,negative,6,0
102,1.729300509816929,2.9481697839090684,MLP,"N6,N6,N6-Trimethyllysine",9AA,negative,6,0
103,3.601809244180417,5.500116390447414,MLP,Nicotinamide adenine dinucleotide (NAD),9AA,negative,6,0
104,5.15376747032566,5.552160701613621,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,negative,6,0
105,2.254812102017839,3.1624877278138377,MLP,Ornithine,9AA,negative,6,0
106,4.745119296674954,4.483160200518653,MLP,PI(5)P 18:1,9AA,negative,6,0
107,3.099428103824812,3.2676948747081047,MLP,Pantetheine,9AA,negative,6,0
108,3.828050696850258,4.105068351375239,MLP,Pantothenic acid,9AA,negative,6,0
109,5.197866060993347,5.2557813484865,MLP,Phosphoenolpyruvic acid,9AA,negative,6,0
110,3.659129094916607,3.377875030919053,MLP,Prostaglandin E1,9AA,negative,6,0
111,0.0,3.2668026182136,MLP,Niacinamide,9AA,negative,6,0
112,0.0,4.055212629719655,MLP,Nicotinic acid,9AA,negative,6,0
113,0.0,5.095927471630277,MLP,Oxalacetic acid,9AA,negative,6,0
114,0.0,2.597081724702685,MLP,Palmitic acid,9AA,negative,6,0
115,5.544729838944959,4.4219139234744524,MLP,Oxidized glutathione,9AA,negative,7,0
116,2.917090541754812,4.986823760637435,MLP,PE 18:0-20:4,9AA,negative,7,0
117,5.004369745474085,5.035592566123431,MLP,PS (POPS) 16:0-18:1,9AA,negative,7,0
118,5.3150044901945455,4.721236562166379,MLP,Palmitoyl-CoA,9AA,negative,7,0
119,3.1226056211198427,2.4195332086371506,MLP,Phenylalanine,9AA,negative,7,0
120,3.488606621266416,5.341407820676999,MLP,Phosphocreatine,9AA,negative,7,0
121,2.8448850221755446,2.554222087128775,MLP,Proline,9AA,negative,7,0
122,4.467389056433673,4.313222961725371,MLP,Riboflavin,9AA,negative,7,0
