,observed_value,prediction,regressor,name_short,matrix,polarity,fold
0,4.814306627793246,4.39098635366428,MLP,2-Oxoglutaric acid,9AA,negative,0
1,3.754200406487889,4.1584651363965115,MLP,3-Hydroxyanthranilic acid,9AA,negative,0
2,5.164587787189345,5.171274633581991,MLP,3-Phosphoglyceric acid,9AA,negative,0
3,4.971478312451223,4.648137348131536,MLP,"4,5-Dihydroorotic acid",9AA,negative,0
4,3.3765543523528434,2.6525032234622916,MLP,4-Hydroxyproline,9AA,negative,0
5,2.4740469582468996,4.719079247350393,MLP,5-Hydroxyindoleacetic acid,9AA,negative,0
6,5.012308835041252,5.2464520055028085,MLP,6-Phosphogluconic acid,9AA,negative,0
7,5.311557557961862,4.721588407845253,MLP,Acetyl-CoA,9AA,negative,0
8,3.4068141934002796,3.245585365489627,MLP,Adenine,9AA,negative,0
9,5.939249906533922,4.59716894921381,MLP,Adenosine diphosphate,9AA,negative,0
10,5.608065874035438,4.388768023495905,MLP,Adenosine monophosphate,9AA,negative,0
11,3.8239163362540958,3.8838501651209167,MLP,Arginine,9AA,negative,0
12,3.9789439936786417,4.160789112886736,MLP,Ascorbic acid,9AA,negative,0
13,0.0,4.760351343158748,MLP,3-Hydroxymethylglutaric acid,9AA,negative,0
14,0.0,4.294354979902081,MLP,Acetoacetic acid,9AA,negative,0
15,0.0,1.4955779474887247,MLP,Acetylcarnitine,9AA,negative,0
16,0.0,2.7677001878816965,MLP,Agmatine,9AA,negative,0
17,0.0,0.5386890557638968,MLP,Cholecalciferol,9AA,negative,0
0,4.443890343962045,4.2523648280704425,MLP,Argininosuccinic acid,9AA,negative,1
1,3.055972327319788,3.5117495548916615,MLP,Asparagine,9AA,negative,1
2,4.208115674739658,4.30463061892771,MLP,Aspartic acid,9AA,negative,1
3,3.3752408900526563,5.825482305106687,MLP,Cardiolipin 18:1,9AA,negative,1
4,1.8790650130886557,2.62551389900748,MLP,Carnitine,9AA,negative,1
5,5.079465529733637,3.3597953765713147,MLP,Carnosine,9AA,negative,1
6,2.4966527593328354,1.5818605366879945,MLP,Cer d8:1/22:0 Cer,9AA,negative,1
7,4.2583717408536526,3.27635417372774,MLP,Cholic acid,9AA,negative,1
8,5.206625379926532,5.1373112240837635,MLP,Citric acid,9AA,negative,1
9,4.08369265554015,3.7975261977968966,MLP,Citrulline,9AA,negative,1
10,4.29330833634685,4.8992440196595295,MLP,Dihydroxyacetone phosphate,9AA,negative,1
11,5.116510282418326,4.739265497802156,MLP,Flavin mononucleotide,9AA,negative,1
12,5.577610157677287,4.827263030668617,MLP,"Fructose 1,6-bisphosphate",9AA,negative,1
13,0.0,1.806571929970678,MLP,Acetylcholine,9AA,negative,1
14,0.0,3.364853385122788,MLP,Biotin,9AA,negative,1
15,0.0,4.507181067491036,MLP,Butyric acid,9AA,negative,1
16,0.0,1.4089554733082215,MLP,Cholesterol,9AA,negative,1
0,3.8008710262539327,5.308168299221765,MLP,Coenzyme A,9AA,negative,2
1,2.4591754069110547,3.589890178625433,MLP,Creatine,9AA,negative,2
2,3.328813314275123,3.1797552052180964,MLP,Creatinine,9AA,negative,2
3,2.641369768140955,3.0334623588345746,MLP,Cysteine,9AA,negative,2
4,3.0412610344968245,4.0259881770574255,MLP,Cystine,9AA,negative,2
5,3.0660730662818927,3.2053908465164977,MLP,Cytidine,9AA,negative,2
6,4.124395821511017,5.224865574030156,MLP,GM3 Ganglioside 18:0,9AA,negative,2
7,4.714115980594938,4.476207999140782,MLP,Gluconic acid,9AA,negative,2
8,3.5630380761253044,3.125132602983657,MLP,Glucose,9AA,negative,2
9,5.087413863450058,5.084964887474058,MLP,Glucose 6-phosphate,9AA,negative,2
10,2.8102276674499054,4.733027034582413,MLP,Glucosyl cholesterol,9AA,negative,2
11,4.724261056382808,4.439889695681235,MLP,Glycerol 3-phosphate,9AA,negative,2
12,0.0,1.7624631151118335,MLP,CAR 16:0,9AA,negative,2
13,0.0,0.0391933500590253,MLP,Cholesteryl acetate,9AA,negative,2
14,0.0,1.4953264968558293,MLP,Choline,9AA,negative,2
15,0.0,4.476500364692438,MLP,Cyclic adenosine monophosphate,9AA,negative,2
0,2.5329693079368925,4.11659452421029,MLP,Cytosine,9AA,negative,3
1,2.6664941592236446,2.611536657632028,MLP,Dopamine,9AA,negative,3
2,2.677103883488091,2.7697563510677785,MLP,Epinephrine,9AA,negative,3
3,5.016272181276773,5.016820980952226,MLP,Flavin adenine dinucleotide,9AA,negative,3
4,3.658273354701202,2.958282594665824,MLP,GlcCer d18:1/18:0,9AA,negative,3
5,4.868475789298719,4.0779162288221,MLP,Glucosamine 6-phosphate,9AA,negative,3
6,4.478279984472924,3.301587149678218,MLP,Kynurenic acid,9AA,negative,3
7,2.9337644139328,4.348589092323827,MLP,Lyso PA 18:1,9AA,negative,3
8,3.860524287932711,2.9529243453409544,MLP,Lyso PC 15:0,9AA,negative,3
9,5.881912850711523,4.437694093094739,MLP,Lyso PG 16:0,9AA,negative,3
10,5.641773056029051,4.739225892960547,MLP,Lyso PI 17:1,9AA,negative,3
11,5.375443979142473,4.653034524104522,MLP,Malic acid,9AA,negative,3
12,0.0,4.970612846130883,MLP,Cytidine monophosphate,9AA,negative,3
13,0.0,4.026986145225461,MLP,Dihydroxyacetone,9AA,negative,3
14,0.0,4.767824328082667,MLP,Fumaric acid,9AA,negative,3
15,0.0,3.7007762859674656,MLP,Glycerophosphocholine,9AA,negative,3
0,4.543663747937896,3.9913582653870203,MLP,Glutamic acid,9AA,negative,4
1,4.051807045819844,3.493896522475218,MLP,Glutamine,9AA,negative,4
2,3.836147576475278,4.749161816352775,MLP,Glutathione,9AA,negative,4
3,1.7817697815048323,3.9352985799380042,MLP,Glycine,9AA,negative,4
4,3.4028146908018333,3.359981261114334,MLP,Guanine,9AA,negative,4
5,2.4855340958804097,3.3071415010201233,MLP,Histamine,9AA,negative,4
6,4.851807597865303,5.34273461220683,MLP,Malonic acid,9AA,negative,4
7,1.7557578089672088,3.0181215846179956,MLP,Melatonin,9AA,negative,4
8,4.282931123625906,3.5821250680946073,MLP,Mevalonic acid,9AA,negative,4
9,5.187259868417889,5.1699590323611755,MLP,Myo-inositol 1-phosphate,9AA,negative,4
10,5.44490784014757,4.526338043474329,MLP,N-Acetylaspartic acid,9AA,negative,4
11,4.4439848341450245,5.101289448623944,MLP,N-Acetylaspartylglutamic acid,9AA,negative,4
12,0.0,2.4993895981878063,MLP,Estradiol,9AA,negative,4
13,0.0,4.792084445638476,MLP,Folic acid,9AA,negative,4
14,0.0,4.446518345378161,MLP,Lactic acid,9AA,negative,4
15,0.0,2.1373611803726105,MLP,MG 18:1,9AA,negative,4
0,4.078243606162822,3.27094234397847,MLP,Histidine,9AA,negative,5
1,3.588718548033654,3.047800454105919,MLP,Hypoxanthine,9AA,negative,5
2,2.4949832219523262,3.6502986077312225,MLP,Kynurenine,9AA,negative,5
3,2.730207868451544,3.5121292799866852,MLP,L-Dopa,9AA,negative,5
4,5.33188795094239,3.6735438291168996,MLP,Lyso PE 18:0,9AA,negative,5
5,5.418025657165832,4.540939779128947,MLP,Lyso PS 17:1,9AA,negative,5
6,3.602995538986097,4.524652182229292,MLP,Orotic acid,9AA,negative,5
7,4.668582133388854,3.723553636030174,MLP,PA 16:0-18:1,9AA,negative,5
8,2.391174556253051,2.9275996402510214,MLP,PC (O) C16-18:1,9AA,negative,5
9,2.772209450568026,3.4044684975433537,MLP,PC 15:0-18:1,9AA,negative,5
10,4.952913805825025,4.204565515189004,MLP,PG 16:0-18:1,9AA,negative,5
11,4.987449242191788,4.8442834458879505,MLP,PI 16:0-18:1,9AA,negative,5
12,0.0,3.4095469163014807,MLP,Glucosamine,9AA,negative,5
13,0.0,3.008879989716498,MLP,Homocysteine,9AA,negative,5
14,0.0,3.182896032960832,MLP,Nicotinamide riboside,9AA,negative,5
15,0.0,5.441479878142521,MLP,Nicotinamide ribotide,9AA,negative,5
0,2.7870869198414447,2.7529850197811925,MLP,Methionine,9AA,negative,6
1,4.488955451051042,5.063588027553008,MLP,N-Acetylgalactosamine 6-phosphate,9AA,negative,6
2,3.7076340212092274,3.3162886812990284,MLP,N-Acetylglucosamine,9AA,negative,6
3,1.729300509816929,1.846508109520121,MLP,"N6,N6,N6-Trimethyllysine",9AA,negative,6
4,3.6018092441804175,5.722955526596434,MLP,Nicotinamide adenine dinucleotide (NAD),9AA,negative,6
5,5.15376747032566,5.493866266123983,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,negative,6
6,2.254812102017839,2.7831216107352006,MLP,Ornithine,9AA,negative,6
7,4.745119296674954,4.581570015217273,MLP,PI(5)P 18:1,9AA,negative,6
8,3.099428103824812,3.091755982674285,MLP,Pantetheine,9AA,negative,6
9,3.828050696850258,3.8890768448075277,MLP,Pantothenic acid,9AA,negative,6
10,5.197866060993347,5.490831685811927,MLP,Phosphoenolpyruvic acid,9AA,negative,6
11,3.659129094916607,3.3816350863340094,MLP,Prostaglandin E1,9AA,negative,6
12,0.0,2.8565884501927,MLP,Niacinamide,9AA,negative,6
13,0.0,3.2334138461361746,MLP,Nicotinic acid,9AA,negative,6
14,0.0,4.829317276153236,MLP,Oxalacetic acid,9AA,negative,6
15,0.0,3.3180090217899987,MLP,Palmitic acid,9AA,negative,6
0,5.544729838944959,5.027339162033163,MLP,Oxidized glutathione,9AA,negative,7
1,2.9170905417548116,5.194766120416645,MLP,PE 18:0-20:4,9AA,negative,7
2,5.004369745474085,5.364011918530968,MLP,PS (POPS) 16:0-18:1,9AA,negative,7
3,5.3150044901945455,4.665320164345767,MLP,Palmitoyl-CoA,9AA,negative,7
4,3.1226056211198427,2.581917442407032,MLP,Phenylalanine,9AA,negative,7
