Feature importance (mean abs value of shap-value),Model-impact of points with high-value features,Model-impact of points with low-value features,Feature name,matrix,polarity
9.24671645396604,-3.2736978012739195,0.19194976148715953,pka_strongest_basic,CHCA,negative
8.916265044647913,-3.2736978012739195,0.19194976148715953,physiological_charge,CHCA,negative
8.358050450300558,-3.2736978012739195,0.19194976148715953,1917,CHCA,negative
7.9443157797967885,-2.1083114399357066,0.1534426409766263,physiological_charge,DAN,negative
7.923572431847523,-2.1083114399357066,0.1534426409766263,80,DAN,negative
7.679154791392631,-2.1083114399357066,0.1534426409766263,1380,DAN,negative
7.643618071384919,-3.2736978012739195,0.19194976148715953,389,CHCA,negative
7.083208759320088,-3.2736978012739195,0.19194976148715953,1171,CHCA,negative
6.829071607192358,-3.2736978012739195,0.19194976148715953,1873,CHCA,negative
6.65919560403891,-2.1083114399357066,0.1534426409766263,1873,DAN,negative
6.435968777121093,-2.1083114399357066,0.1534426409766263,acceptor_count,DAN,negative
6.3959727618895785,-2.1083114399357066,0.1534426409766263,1057,DAN,negative
6.281317163736392,-3.2736978012739195,0.19194976148715953,1380,CHCA,negative
6.203467150809059,-2.1083114399357066,0.1534426409766263,1171,DAN,negative
6.09875552318035,-3.2736978012739195,0.19194976148715953,1,CHCA,negative
5.739245387039064,-2.1083114399357066,0.1534426409766263,polar_surface_area,DAN,negative
5.705826435080716,-2.1083114399357066,0.1534426409766263,1917,DAN,negative
5.66923184303137,-3.2736978012739195,0.19194976148715953,80,CHCA,negative
5.558098263898645,-2.1083114399357066,0.1534426409766263,pka_strongest_basic,DAN,negative
5.117252662854317,-3.2736978012739195,0.19194976148715953,1057,CHCA,negative
5.023801095468897,-2.1083114399357066,0.1534426409766263,695,DAN,negative
4.783150578920658,-3.2736978012739195,0.19194976148715953,donor_count,CHCA,negative
4.6547883950751014,-2.1083114399357066,0.1534426409766263,polarizability,DAN,negative
4.11776492870771,-3.2736978012739195,0.19194976148715953,1152,CHCA,negative
4.113788565227472,-0.4384454713298615,0.03589205464368373,polarizability,9AA,positive
4.0659632778443955,-2.1083114399357066,0.1534426409766263,pka_strongest_acidic,DAN,negative
3.9442735047827306,-2.1083114399357066,0.1534426409766263,389,DAN,negative
3.7129434331105307,-3.2736978012739195,0.19194976148715953,1750,CHCA,negative
3.438363817737929,0.6113088309169158,-0.03908890355189892,polar_surface_area,pNA,positive
3.3641468131556196,-2.1083114399357066,0.1534426409766263,807,DAN,negative
3.29894444728509,-3.2736978012739195,0.19194976148715953,650,CHCA,negative
3.233316081453622,-2.1083114399357066,0.1534426409766263,1,DAN,negative
3.1275954611666235,-0.4384454713298615,0.03589205464368373,acceptor_count,9AA,positive
3.049171406793749,-2.1083114399357066,0.1534426409766263,650,DAN,negative
2.9454234844981095,-3.2736978012739195,0.19194976148715953,1844,CHCA,negative
2.9144467575499453,-3.2736978012739195,0.19194976148715953,polar_surface_area,CHCA,negative
2.862792959398566,-3.2736978012739195,0.19194976148715953,786,CHCA,negative
2.839045842947104,-3.2736978012739195,0.19194976148715953,1564,CHCA,negative
2.808479340183429,-3.2736978012739195,0.19194976148715953,1849,CHCA,negative
2.763942793781209,-2.1083114399357066,0.1534426409766263,1819,DAN,negative
2.671470915965545,-3.2736978012739195,0.19194976148715953,695,CHCA,negative
2.5744909489622056,0.6113088309169158,-0.03908890355189892,acceptor_count,pNA,positive
2.564747070441155,-0.2457744439001696,0.02437350898324032,donor_count,9AA,negative
2.560692396382211,-2.1083114399357066,0.1534426409766263,486,DAN,negative
2.555529822301814,0.6113088309169158,-0.03908890355189892,pka_strongest_basic,pNA,positive
2.541885944739194,-2.1083114399357066,0.1534426409766263,1257,DAN,negative
2.4898199917683135,0.7422035136772629,-0.04928860712331471,polar_surface_area,DHB,positive
2.4558443804861794,-2.1083114399357066,0.1534426409766263,1838,DAN,negative
2.3526603772090033,-3.2736978012739195,0.19194976148715953,1257,CHCA,negative
2.335679610655491,0.7422035136772629,-0.04928860712331471,695,DHB,positive
2.266095366691932,-3.2736978012739195,0.19194976148715953,1737,CHCA,negative
2.2630203132445996,-3.2736978012739195,0.19194976148715953,807,CHCA,negative
2.2340468866254324,-0.4384454713298615,0.03589205464368373,polar_surface_area,9AA,positive
2.233546124390838,-2.1083114399357066,0.1534426409766263,1911,DAN,negative
2.200370689228368,-3.2736978012739195,0.19194976148715953,polarizability,CHCA,negative
2.1502453703345825,-2.1083114399357066,0.1534426409766263,1114,DAN,negative
2.1405757289080047,0.7422035136772629,-0.04928860712331471,1917,DHB,positive
2.120114703820302,-3.2736978012739195,0.19194976148715953,1487,CHCA,negative
2.0991360484010193,-0.4384454713298615,0.03589205464368373,1171,9AA,positive
2.0847482748434576,-2.1083114399357066,0.1534426409766263,192,DAN,negative
2.0446584885808785,-2.1083114399357066,0.1534426409766263,1737,DAN,negative
2.042882710850487,-0.2457744439001696,0.02437350898324032,acceptor_count,9AA,negative
2.0130351401620628,-2.1083114399357066,0.1534426409766263,378,DAN,negative
1.9918899248953157,-2.1083114399357066,0.1534426409766263,donor_count,DAN,negative
1.945866397328866,-3.2736978012739195,0.19194976148715953,980,CHCA,negative
1.936309066596725,-2.1083114399357066,0.1534426409766263,1564,DAN,negative
1.9233557794338618,-3.2736978012739195,0.19194976148715953,1114,CHCA,negative
1.9003058037678011,0.7422035136772629,-0.04928860712331471,1564,DHB,positive
1.8877556336099386,0.7422035136772629,-0.04928860712331471,polarizability,DHB,positive
1.88596606155967,0.7422035136772629,-0.04928860712331471,1380,DHB,positive
