feature_name,mean_abs_shap,matrix,polarity
adduct_[M]+,9.937351394397549,CHCA,negative
1065,9.875517003704125,DHB,negative
888,9.834834172735723,DHAP,negative
2001,9.79794660502789,9AA,positive
pka_strongest_acidic,9.766074146390618,9AA,positive
1,9.761918599160294,CHCA,negative
1019,9.736399586304625,DHAP,negative
1022,9.730838731874394,CHCA,negative
1819,9.607040831630213,DHB,negative
1995,9.532131055487863,CHCA,negative
1838,9.491151004372274,9AA,positive
1722,9.471120516742593,DHB,negative
473,9.436907887257927,9AA,positive
1430,9.370560992302783,DHAP,negative
890,9.3395889826192,9AA,positive
adduct_+H,9.319999875165719,DHB,positive
727,9.239974809831448,DHAP,negative
1126,9.225233959300178,ClCCA,negative
116,9.199893741795186,DHAP,negative
2044,9.146932048723102,DHB,negative
456,9.136262232703823,ClCCA,negative
35,9.127572760773113,DHB,positive
486,9.101995940449871,CHCA,negative
183,9.090889410028046,DHB,negative
823,9.00765469934367,CHCA,negative
1144,8.956483393944069,9AA,positive
504,8.923325779345902,9AA,positive
456,8.920578242445897,NEDC,negative
1432,8.808732087461694,pNA,negative
1431,8.741789119111548,9AA,positive
1,8.737442560612209,ClCCA,negative
610,8.709505665168333,DHAP,negative
1022,8.68595438154917,ClCCA,negative
610,8.541645924250284,DHB,negative
2001,8.471687630883284,NEDC,negative
1516,8.465121433138847,NEDC,negative
143,8.357992825408777,ClCCA,negative
2034,8.316334043230329,MAPS,negative
143,8.30558851327789,DHAP,negative
1898,8.297409943320325,DHAP,negative
2001,8.290130078576613,DHB,negative
adduct_+Cl,8.183937451295686,CMBT,negative
adduct_+Na,8.177661711448117,CMBT,negative
336,8.163735688474558,9AA,positive
1349,8.146973282109858,ClCCA,negative
1182,8.126073914119996,9AA,negative
1144,8.122916791588068,ClCCA,negative
976,8.113588367552296,9AA,positive
pka_strongest_acidic,8.112258334658922,DHB,positive
456,8.096663436779146,DHAP,negative
519,8.070874737008758,DHB,negative
adduct_+Cl,8.046761625041082,DHB,positive
