,Matrix short,Polarity,adduct,name_short,detected,spot_intensity
100,9AA,negative,+Cl,Nicotinamide adenine dinucleotide (NAD),0,0.0
101,9AA,negative,+Cl,"Nicotinamide adenine dinucleotide, reduced (NADH)",0,0.0
102,9AA,negative,+Cl,Nicotinic acid,0,0.0
103,9AA,negative,+Cl,Ornithine,0,0.0
104,9AA,negative,+Cl,Orotic acid,0,0.0
105,9AA,negative,+Cl,Oxalacetic acid,0,0.0
106,9AA,negative,+Cl,Oxidized glutathione,0,0.0
107,9AA,negative,+Cl,PA 16:0-18:1,1,702.4289
108,9AA,negative,+Cl,PC (O) C16-18:1,1,245.13567
109,9AA,negative,+Cl,PC 15:0-18:1,1,590.847
110,9AA,negative,+Cl,PE 18:0-20:4,0,0.0
111,9AA,negative,+Cl,PG 16:0-18:1,0,0.0
112,9AA,negative,+Cl,PI 16:0-18:1,0,0.0
113,9AA,negative,+Cl,PI(5)P 18:1,0,0.0
114,9AA,negative,+Cl,PS (POPS) 16:0-18:1,0,0.0
115,9AA,negative,+Cl,Palmitic acid,0,0.0
116,9AA,negative,+Cl,Palmitoyl-CoA,0,0.0
117,9AA,negative,+Cl,Pantetheine,0,0.0
118,9AA,negative,+Cl,Pantothenic acid,0,0.0
119,9AA,negative,+Cl,Phenylalanine,1,58.95551
120,9AA,negative,+Cl,Phosphocreatine,1,54.707
121,9AA,negative,+Cl,Phosphoenolpyruvic acid,0,0.0
122,9AA,negative,+Cl,Phosphoserine,0,0.0
123,9AA,negative,+Cl,Phylloquinone,0,0.0
124,9AA,negative,+Cl,Proline,0,0.0
125,9AA,negative,+Cl,Propionylcarnitine,0,0.0
126,9AA,negative,+Cl,Prostaglandin E1,1,212.42564
127,9AA,negative,+Cl,Putrescine,0,0.0
128,9AA,negative,+Cl,Pyridoxine,1,709.17633
129,9AA,negative,+Cl,Pyruvic acid,0,0.0
130,9AA,negative,+Cl,Quinolinic acid,0,0.0
131,9AA,negative,+Cl,Retinoic acid,0,0.0
132,9AA,negative,+Cl,Riboflavin,1,1142.9662
133,9AA,negative,+Cl,Ribose 5-phosphate,1,79.76085
134,9AA,negative,+Cl,Ribulose,0,0.0
135,9AA,negative,+Cl,Ribulose 5-phosphate,1,25.886387
136,9AA,negative,+Cl,S-Adenosylhomocysteine,1,175.04391
137,9AA,negative,+Cl,SM d18:1-16:0,1,1552.3076
138,9AA,negative,+Cl,Serine,0,0.0
139,9AA,negative,+Cl,Serotonin,0,0.0
140,9AA,negative,+Cl,Spermidine,0,0.0
141,9AA,negative,+Cl,Spermine,0,0.0
142,9AA,negative,+Cl,Succinic acid,0,0.0
143,9AA,negative,+Cl,Sulfo GalCer 18:0(2S-OH),0,0.0
144,9AA,negative,+Cl,TG 15:0-18:1-15:0,0,0.0
145,9AA,negative,+Cl,Taurine,1,20.201468
146,9AA,negative,+Cl,Taurocholic acid,0,0.0
147,9AA,negative,+Cl,Tetrahydrofolic acid,0,0.0
148,9AA,negative,+Cl,Thymine,0,0.0
149,9AA,negative,+Cl,Tryptophan,0,0.0
150,9AA,negative,+Cl,Tyrosine,0,0.0
151,9AA,negative,+Cl,Uracil,1,158.1669
152,9AA,negative,+Cl,Ureidosuccinic acid,0,0.0
153,9AA,negative,+Cl,Uric acid,1,190.47316
154,9AA,negative,+Cl,Uridine,1,501.33884
155,9AA,negative,+Cl,Uridine diphosphate,0,0.0
156,9AA,negative,+Cl,Uridine diphosphate glucose,0,0.0
157,9AA,negative,+Cl,Uridine diphosphate glucuronic acid,0,0.0
158,9AA,negative,+Cl,Uridine diphosphate-N-acetylglucosamine,0,0.0
159,9AA,negative,+Cl,Urocanic acid,1,191.05109
160,9AA,negative,+Cl,Valine,0,0.0
161,9AA,negative,+Cl,Xanthine,1,2081.4585
162,9AA,negative,+Cl,alpha-tocopherol,0,0.0
163,9AA,negative,+Cl,cis-Aconitic acid,0,0.0
164,9AA,negative,+Cl,gamma-Aminobutyric acid,0,0.0
165,9AA,negative,+Cl,myo-Inositol,1,275.07004
332,9AA,negative,+K,2-Oxoglutaric acid,0,0.0
333,9AA,negative,+K,3-Hydroxyanthranilic acid,0,0.0
334,9AA,negative,+K,3-Hydroxymethylglutaric acid,0,0.0
335,9AA,negative,+K,3-Phosphoglyceric acid,0,0.0
336,9AA,negative,+K,"4,5-Dihydroorotic acid",0,0.0
337,9AA,negative,+K,4-Hydroxyproline,0,0.0
338,9AA,negative,+K,5-Hydroxyindoleacetic acid,0,0.0
339,9AA,negative,+K,6-Phosphogluconic acid,0,0.0
340,9AA,negative,+K,Acetoacetic acid,0,0.0
341,9AA,negative,+K,Acetyl-CoA,0,0.0
342,9AA,negative,+K,Acetylcarnitine,0,0.0
343,9AA,negative,+K,Adenine,0,0.0
344,9AA,negative,+K,Adenosine diphosphate,0,0.0
345,9AA,negative,+K,Adenosine monophosphate,0,0.0
346,9AA,negative,+K,Adenosine triphosphate,0,0.0
347,9AA,negative,+K,Agmatine,0,0.0
348,9AA,negative,+K,Arachidonic acid,0,0.0
349,9AA,negative,+K,Arginine,0,0.0
350,9AA,negative,+K,Argininosuccinic acid,0,0.0
351,9AA,negative,+K,Ascorbic acid,0,0.0
352,9AA,negative,+K,Asparagine,0,0.0
353,9AA,negative,+K,Aspartic acid,0,0.0
354,9AA,negative,+K,Biotin,0,0.0
355,9AA,negative,+K,Butyric acid,0,0.0
356,9AA,negative,+K,CAR 16:0,0,0.0
357,9AA,negative,+K,Carbamoyl phosphate,0,0.0
358,9AA,negative,+K,Cardiolipin 18:1,0,0.0
359,9AA,negative,+K,Carnitine,0,0.0
360,9AA,negative,+K,Carnosine,0,0.0
361,9AA,negative,+K,Cer d8:1/22:0 Cer,0,0.0
362,9AA,negative,+K,Cholecalciferol,0,0.0
363,9AA,negative,+K,Cholesterol,0,0.0
364,9AA,negative,+K,Cholesteryl acetate,0,0.0
365,9AA,negative,+K,Cholesteryl ester 17:0,0,0.0
366,9AA,negative,+K,Cholic acid,0,0.0
367,9AA,negative,+K,Citric acid,0,0.0
368,9AA,negative,+K,Citrulline,0,0.0
369,9AA,negative,+K,Coenzyme A,0,0.0
370,9AA,negative,+K,Creatine,0,0.0
371,9AA,negative,+K,Creatinine,0,0.0
372,9AA,negative,+K,Cyclic adenosine monophosphate,0,0.0
373,9AA,negative,+K,Cysteine,0,0.0
374,9AA,negative,+K,Cystine,0,0.0
375,9AA,negative,+K,Cytidine,0,0.0
376,9AA,negative,+K,Cytidine monophosphate,0,0.0
377,9AA,negative,+K,Cytosine,0,0.0
378,9AA,negative,+K,DG 18:0-22:6,0,0.0
379,9AA,negative,+K,Dihydroxyacetone,0,0.0
380,9AA,negative,+K,Dihydroxyacetone phosphate,0,0.0
381,9AA,negative,+K,Dopamine,0,0.0
382,9AA,negative,+K,Epinephrine,0,0.0
383,9AA,negative,+K,Estradiol,0,0.0
384,9AA,negative,+K,Flavin adenine dinucleotide,0,0.0
385,9AA,negative,+K,Flavin mononucleotide,0,0.0
386,9AA,negative,+K,Folic acid,0,0.0
387,9AA,negative,+K,"Fructose 1,6-bisphosphate",0,0.0
388,9AA,negative,+K,Fumaric acid,0,0.0
389,9AA,negative,+K,GM3 Ganglioside 18:0,0,0.0
390,9AA,negative,+K,GlcCer d18:1/18:0,0,0.0
391,9AA,negative,+K,Gluconic acid,0,0.0
392,9AA,negative,+K,Glucosamine,0,0.0
393,9AA,negative,+K,Glucosamine 6-phosphate,0,0.0
394,9AA,negative,+K,Glucose,0,0.0
395,9AA,negative,+K,Glucose 6-phosphate,0,0.0
396,9AA,negative,+K,Glucosyl cholesterol,0,0.0
397,9AA,negative,+K,Glutamic acid,0,0.0
398,9AA,negative,+K,Glutamine,0,0.0
399,9AA,negative,+K,Glutathione,0,0.0
400,9AA,negative,+K,Glycerol 3-phosphate,0,0.0
401,9AA,negative,+K,Glycerophosphocholine,0,0.0
402,9AA,negative,+K,Glycine,0,0.0
403,9AA,negative,+K,Guanine,0,0.0
404,9AA,negative,+K,Histamine,0,0.0
405,9AA,negative,+K,Histidine,0,0.0
406,9AA,negative,+K,Homocysteine,0,0.0
407,9AA,negative,+K,Hypoxanthine,0,0.0
408,9AA,negative,+K,Indole,0,0.0
409,9AA,negative,+K,Kynurenic acid,0,0.0
410,9AA,negative,+K,Kynurenine,0,0.0
411,9AA,negative,+K,L-Dopa,0,0.0
412,9AA,negative,+K,Lactic acid,0,0.0
413,9AA,negative,+K,Lyso PA 18:1,0,0.0
414,9AA,negative,+K,Lyso PC 15:0,0,0.0
415,9AA,negative,+K,Lyso PE 18:0,0,0.0
416,9AA,negative,+K,Lyso PG 16:0,0,0.0
417,9AA,negative,+K,Lyso PI 17:1,0,0.0
418,9AA,negative,+K,Lyso PS 17:1,0,0.0
419,9AA,negative,+K,MG 18:1,0,0.0
420,9AA,negative,+K,Malic acid,0,0.0
421,9AA,negative,+K,Malonic acid,0,0.0
422,9AA,negative,+K,Melatonin,0,0.0
423,9AA,negative,+K,Methionine,0,0.0
424,9AA,negative,+K,Mevalonic acid,0,0.0
425,9AA,negative,+K,Myo-inositol 1-phosphate,0,0.0
426,9AA,negative,+K,N-Acetylaspartic acid,0,0.0
427,9AA,negative,+K,N-Acetylaspartylglutamic acid,0,0.0
428,9AA,negative,+K,N-Acetylgalactosamine 6-phosphate,0,0.0
429,9AA,negative,+K,N-Acetylglucosamine,0,0.0
430,9AA,negative,+K,"N6,N6,N6-Trimethyllysine",0,0.0
431,9AA,negative,+K,Niacinamide,0,0.0
432,9AA,negative,+K,Nicotinamide adenine dinucleotide (NAD),0,0.0
433,9AA,negative,+K,"Nicotinamide adenine dinucleotide, reduced (NADH)",0,0.0
434,9AA,negative,+K,Nicotinic acid,0,0.0
435,9AA,negative,+K,Ornithine,0,0.0
436,9AA,negative,+K,Orotic acid,0,0.0
437,9AA,negative,+K,Oxalacetic acid,0,0.0
438,9AA,negative,+K,Oxidized glutathione,0,0.0
439,9AA,negative,+K,PA 16:0-18:1,0,0.0
440,9AA,negative,+K,PC (O) C16-18:1,0,0.0
441,9AA,negative,+K,PC 15:0-18:1,0,0.0
442,9AA,negative,+K,PE 18:0-20:4,0,0.0
443,9AA,negative,+K,PG 16:0-18:1,0,0.0
444,9AA,negative,+K,PI 16:0-18:1,0,0.0
445,9AA,negative,+K,PI(5)P 18:1,0,0.0
446,9AA,negative,+K,PS (POPS) 16:0-18:1,0,0.0
447,9AA,negative,+K,Palmitic acid,0,0.0
448,9AA,negative,+K,Palmitoyl-CoA,0,0.0
449,9AA,negative,+K,Pantetheine,0,0.0
450,9AA,negative,+K,Pantothenic acid,0,0.0
451,9AA,negative,+K,Phenylalanine,0,0.0
452,9AA,negative,+K,Phosphocreatine,0,0.0
453,9AA,negative,+K,Phosphoenolpyruvic acid,0,0.0
454,9AA,negative,+K,Phosphoserine,0,0.0
455,9AA,negative,+K,Phylloquinone,0,0.0
456,9AA,negative,+K,Proline,0,0.0
457,9AA,negative,+K,Propionylcarnitine,0,0.0
458,9AA,negative,+K,Prostaglandin E1,0,0.0
459,9AA,negative,+K,Putrescine,0,0.0
460,9AA,negative,+K,Pyridoxine,0,0.0
461,9AA,negative,+K,Pyruvic acid,0,0.0
462,9AA,negative,+K,Quinolinic acid,0,0.0
463,9AA,negative,+K,Retinoic acid,0,0.0
464,9AA,negative,+K,Riboflavin,0,0.0
465,9AA,negative,+K,Ribose 5-phosphate,0,0.0
466,9AA,negative,+K,Ribulose,0,0.0
467,9AA,negative,+K,Ribulose 5-phosphate,0,0.0
468,9AA,negative,+K,S-Adenosylhomocysteine,0,0.0
469,9AA,negative,+K,SM d18:1-16:0,0,0.0
470,9AA,negative,+K,Serine,0,0.0
471,9AA,negative,+K,Serotonin,0,0.0
472,9AA,negative,+K,Spermidine,0,0.0
473,9AA,negative,+K,Spermine,0,0.0
474,9AA,negative,+K,Succinic acid,0,0.0
475,9AA,negative,+K,Sulfo GalCer 18:0(2S-OH),0,0.0
476,9AA,negative,+K,TG 15:0-18:1-15:0,0,0.0
477,9AA,negative,+K,Taurine,0,0.0
478,9AA,negative,+K,Taurocholic acid,0,0.0
479,9AA,negative,+K,Tetrahydrofolic acid,0,0.0
480,9AA,negative,+K,Thymine,0,0.0
481,9AA,negative,+K,Tryptophan,0,0.0
482,9AA,negative,+K,Tyrosine,0,0.0
483,9AA,negative,+K,Uracil,0,0.0
484,9AA,negative,+K,Ureidosuccinic acid,0,0.0
485,9AA,negative,+K,Uric acid,0,0.0
486,9AA,negative,+K,Uridine,0,0.0
487,9AA,negative,+K,Uridine diphosphate,0,0.0
488,9AA,negative,+K,Uridine diphosphate glucose,0,0.0
489,9AA,negative,+K,Uridine diphosphate glucuronic acid,0,0.0
490,9AA,negative,+K,Uridine diphosphate-N-acetylglucosamine,0,0.0
491,9AA,negative,+K,Urocanic acid,0,0.0
492,9AA,negative,+K,Valine,0,0.0
493,9AA,negative,+K,Xanthine,0,0.0
494,9AA,negative,+K,alpha-tocopherol,0,0.0
495,9AA,negative,+K,cis-Aconitic acid,0,0.0
496,9AA,negative,+K,gamma-Aminobutyric acid,0,0.0
497,9AA,negative,+K,myo-Inositol,0,0.0
498,9AA,negative,+Na,2-Oxoglutaric acid,0,0.0
499,9AA,negative,+Na,3-Hydroxyanthranilic acid,0,0.0
500,9AA,negative,+Na,3-Hydroxymethylglutaric acid,0,0.0
501,9AA,negative,+Na,3-Phosphoglyceric acid,0,0.0
502,9AA,negative,+Na,"4,5-Dihydroorotic acid",0,0.0
503,9AA,negative,+Na,4-Hydroxyproline,0,0.0
504,9AA,negative,+Na,5-Hydroxyindoleacetic acid,0,0.0
505,9AA,negative,+Na,6-Phosphogluconic acid,0,0.0
506,9AA,negative,+Na,Acetoacetic acid,0,0.0
507,9AA,negative,+Na,Acetyl-CoA,0,0.0
508,9AA,negative,+Na,Acetylcarnitine,0,0.0
509,9AA,negative,+Na,Adenine,0,0.0
510,9AA,negative,+Na,Adenosine diphosphate,0,0.0
511,9AA,negative,+Na,Adenosine monophosphate,0,0.0
512,9AA,negative,+Na,Adenosine triphosphate,0,0.0
513,9AA,negative,+Na,Agmatine,0,0.0
514,9AA,negative,+Na,Arachidonic acid,0,0.0
515,9AA,negative,+Na,Arginine,0,0.0
516,9AA,negative,+Na,Argininosuccinic acid,0,0.0
517,9AA,negative,+Na,Ascorbic acid,0,0.0
518,9AA,negative,+Na,Asparagine,0,0.0
519,9AA,negative,+Na,Aspartic acid,0,0.0
520,9AA,negative,+Na,Biotin,0,0.0
521,9AA,negative,+Na,Butyric acid,0,0.0
522,9AA,negative,+Na,CAR 16:0,0,0.0
523,9AA,negative,+Na,Carbamoyl phosphate,0,0.0
524,9AA,negative,+Na,Cardiolipin 18:1,0,0.0
525,9AA,negative,+Na,Carnitine,0,0.0
526,9AA,negative,+Na,Carnosine,0,0.0
527,9AA,negative,+Na,Cer d8:1/22:0 Cer,0,0.0
528,9AA,negative,+Na,Cholecalciferol,0,0.0
529,9AA,negative,+Na,Cholesterol,0,0.0
530,9AA,negative,+Na,Cholesteryl acetate,0,0.0
531,9AA,negative,+Na,Cholesteryl ester 17:0,0,0.0
532,9AA,negative,+Na,Cholic acid,0,0.0
533,9AA,negative,+Na,Citric acid,0,0.0
534,9AA,negative,+Na,Citrulline,0,0.0
535,9AA,negative,+Na,Coenzyme A,0,0.0
536,9AA,negative,+Na,Creatine,0,0.0
537,9AA,negative,+Na,Creatinine,0,0.0
538,9AA,negative,+Na,Cyclic adenosine monophosphate,0,0.0
539,9AA,negative,+Na,Cysteine,0,0.0
540,9AA,negative,+Na,Cystine,0,0.0
541,9AA,negative,+Na,Cytidine,0,0.0
542,9AA,negative,+Na,Cytidine monophosphate,0,0.0
543,9AA,negative,+Na,Cytosine,0,0.0
544,9AA,negative,+Na,DG 18:0-22:6,0,0.0
545,9AA,negative,+Na,Dihydroxyacetone,0,0.0
546,9AA,negative,+Na,Dihydroxyacetone phosphate,0,0.0
547,9AA,negative,+Na,Dopamine,0,0.0
548,9AA,negative,+Na,Epinephrine,0,0.0
549,9AA,negative,+Na,Estradiol,0,0.0
550,9AA,negative,+Na,Flavin adenine dinucleotide,0,0.0
551,9AA,negative,+Na,Flavin mononucleotide,0,0.0
552,9AA,negative,+Na,Folic acid,0,0.0
553,9AA,negative,+Na,"Fructose 1,6-bisphosphate",0,0.0
554,9AA,negative,+Na,Fumaric acid,0,0.0
555,9AA,negative,+Na,GM3 Ganglioside 18:0,0,0.0
556,9AA,negative,+Na,GlcCer d18:1/18:0,0,0.0
557,9AA,negative,+Na,Gluconic acid,0,0.0
558,9AA,negative,+Na,Glucosamine,0,0.0
559,9AA,negative,+Na,Glucosamine 6-phosphate,0,0.0
560,9AA,negative,+Na,Glucose,0,0.0
561,9AA,negative,+Na,Glucose 6-phosphate,0,0.0
562,9AA,negative,+Na,Glucosyl cholesterol,0,0.0
563,9AA,negative,+Na,Glutamic acid,0,0.0
564,9AA,negative,+Na,Glutamine,0,0.0
565,9AA,negative,+Na,Glutathione,0,0.0
566,9AA,negative,+Na,Glycerol 3-phosphate,0,0.0
567,9AA,negative,+Na,Glycerophosphocholine,0,0.0
568,9AA,negative,+Na,Glycine,0,0.0
569,9AA,negative,+Na,Guanine,0,0.0
570,9AA,negative,+Na,Histamine,0,0.0
571,9AA,negative,+Na,Histidine,0,0.0
572,9AA,negative,+Na,Homocysteine,0,0.0
573,9AA,negative,+Na,Hypoxanthine,0,0.0
574,9AA,negative,+Na,Indole,0,0.0
575,9AA,negative,+Na,Kynurenic acid,0,0.0
576,9AA,negative,+Na,Kynurenine,0,0.0
577,9AA,negative,+Na,L-Dopa,0,0.0
578,9AA,negative,+Na,Lactic acid,0,0.0
579,9AA,negative,+Na,Lyso PA 18:1,0,0.0
580,9AA,negative,+Na,Lyso PC 15:0,0,0.0
581,9AA,negative,+Na,Lyso PE 18:0,0,0.0
582,9AA,negative,+Na,Lyso PG 16:0,0,0.0
583,9AA,negative,+Na,Lyso PI 17:1,0,0.0
584,9AA,negative,+Na,Lyso PS 17:1,0,0.0
585,9AA,negative,+Na,MG 18:1,0,0.0
586,9AA,negative,+Na,Malic acid,0,0.0
587,9AA,negative,+Na,Malonic acid,0,0.0
588,9AA,negative,+Na,Melatonin,0,0.0
589,9AA,negative,+Na,Methionine,0,0.0
590,9AA,negative,+Na,Mevalonic acid,0,0.0
591,9AA,negative,+Na,Myo-inositol 1-phosphate,0,0.0
592,9AA,negative,+Na,N-Acetylaspartic acid,0,0.0
593,9AA,negative,+Na,N-Acetylaspartylglutamic acid,0,0.0
594,9AA,negative,+Na,N-Acetylgalactosamine 6-phosphate,0,0.0
595,9AA,negative,+Na,N-Acetylglucosamine,0,0.0
596,9AA,negative,+Na,"N6,N6,N6-Trimethyllysine",0,0.0
597,9AA,negative,+Na,Niacinamide,0,0.0
598,9AA,negative,+Na,Nicotinamide adenine dinucleotide (NAD),0,0.0
599,9AA,negative,+Na,"Nicotinamide adenine dinucleotide, reduced (NADH)",0,0.0
600,9AA,negative,+Na,Nicotinic acid,0,0.0
601,9AA,negative,+Na,Ornithine,0,0.0
602,9AA,negative,+Na,Orotic acid,0,0.0
603,9AA,negative,+Na,Oxalacetic acid,0,0.0
604,9AA,negative,+Na,Oxidized glutathione,0,0.0
605,9AA,negative,+Na,PA 16:0-18:1,0,0.0
606,9AA,negative,+Na,PC (O) C16-18:1,0,0.0
607,9AA,negative,+Na,PC 15:0-18:1,0,0.0
608,9AA,negative,+Na,PE 18:0-20:4,0,0.0
609,9AA,negative,+Na,PG 16:0-18:1,0,0.0
610,9AA,negative,+Na,PI 16:0-18:1,0,0.0
611,9AA,negative,+Na,PI(5)P 18:1,0,0.0
612,9AA,negative,+Na,PS (POPS) 16:0-18:1,0,0.0
613,9AA,negative,+Na,Palmitic acid,0,0.0
614,9AA,negative,+Na,Palmitoyl-CoA,0,0.0
615,9AA,negative,+Na,Pantetheine,0,0.0
616,9AA,negative,+Na,Pantothenic acid,0,0.0
617,9AA,negative,+Na,Phenylalanine,0,0.0
618,9AA,negative,+Na,Phosphocreatine,0,0.0
619,9AA,negative,+Na,Phosphoenolpyruvic acid,0,0.0
620,9AA,negative,+Na,Phosphoserine,0,0.0
621,9AA,negative,+Na,Phylloquinone,0,0.0
622,9AA,negative,+Na,Proline,0,0.0
623,9AA,negative,+Na,Propionylcarnitine,0,0.0
624,9AA,negative,+Na,Prostaglandin E1,0,0.0
625,9AA,negative,+Na,Putrescine,0,0.0
626,9AA,negative,+Na,Pyridoxine,0,0.0
627,9AA,negative,+Na,Pyruvic acid,0,0.0
628,9AA,negative,+Na,Quinolinic acid,0,0.0
629,9AA,negative,+Na,Retinoic acid,0,0.0
630,9AA,negative,+Na,Riboflavin,0,0.0
631,9AA,negative,+Na,Ribose 5-phosphate,0,0.0
632,9AA,negative,+Na,Ribulose,0,0.0
633,9AA,negative,+Na,Ribulose 5-phosphate,0,0.0
634,9AA,negative,+Na,S-Adenosylhomocysteine,0,0.0
635,9AA,negative,+Na,SM d18:1-16:0,0,0.0
636,9AA,negative,+Na,Serine,0,0.0
637,9AA,negative,+Na,Serotonin,0,0.0
638,9AA,negative,+Na,Spermidine,0,0.0
639,9AA,negative,+Na,Spermine,0,0.0
640,9AA,negative,+Na,Succinic acid,0,0.0
641,9AA,negative,+Na,Sulfo GalCer 18:0(2S-OH),0,0.0
642,9AA,negative,+Na,TG 15:0-18:1-15:0,0,0.0
643,9AA,negative,+Na,Taurine,0,0.0
644,9AA,negative,+Na,Taurocholic acid,0,0.0
645,9AA,negative,+Na,Tetrahydrofolic acid,0,0.0
646,9AA,negative,+Na,Thymine,0,0.0
647,9AA,negative,+Na,Tryptophan,0,0.0
648,9AA,negative,+Na,Tyrosine,0,0.0
