,Matrix short,Polarity,adduct,name_short,detected,spot_intensity
105,9AA,negative,+Cl,Nicotinamide ribotide,0,0.0
106,9AA,negative,+Cl,Nicotinic acid,0,0.0
107,9AA,negative,+Cl,Ornithine,0,0.0
108,9AA,negative,+Cl,Orotic acid,0,0.0
109,9AA,negative,+Cl,Oxalacetic acid,0,0.0
110,9AA,negative,+Cl,Oxidized glutathione,0,0.0
111,9AA,negative,+Cl,PA 16:0-18:1,1,702.4289
112,9AA,negative,+Cl,PC (O) C16-18:1,1,245.13567
113,9AA,negative,+Cl,PC 15:0-18:1,1,590.847
114,9AA,negative,+Cl,PE 18:0-20:4,0,0.0
115,9AA,negative,+Cl,PG 16:0-18:1,0,0.0
116,9AA,negative,+Cl,PI 16:0-18:1,0,0.0
117,9AA,negative,+Cl,PI(5)P 18:1,0,0.0
118,9AA,negative,+Cl,PS (POPS) 16:0-18:1,0,0.0
119,9AA,negative,+Cl,Palmitic acid,0,0.0
120,9AA,negative,+Cl,Palmitoyl-CoA,0,0.0
121,9AA,negative,+Cl,Pantetheine,0,0.0
122,9AA,negative,+Cl,Pantothenic acid,0,0.0
123,9AA,negative,+Cl,Phenylalanine,1,58.95551
124,9AA,negative,+Cl,Phosphocreatine,1,54.707
125,9AA,negative,+Cl,Phosphoenolpyruvic acid,0,0.0
126,9AA,negative,+Cl,Phosphoserine,0,0.0
127,9AA,negative,+Cl,Phylloquinone,0,0.0
128,9AA,negative,+Cl,Proline,0,0.0
129,9AA,negative,+Cl,Propionylcarnitine,0,0.0
130,9AA,negative,+Cl,Prostaglandin E1,1,212.42564
131,9AA,negative,+Cl,Putrescine,0,0.0
132,9AA,negative,+Cl,Pyridoxine,1,709.17633
133,9AA,negative,+Cl,Pyruvic acid,0,0.0
134,9AA,negative,+Cl,Quinolinic acid,0,0.0
135,9AA,negative,+Cl,Retinoic acid,0,0.0
136,9AA,negative,+Cl,Riboflavin,1,1142.9662
137,9AA,negative,+Cl,Ribose 5-phosphate,1,79.76085
138,9AA,negative,+Cl,Ribulose,0,0.0
139,9AA,negative,+Cl,Ribulose 5-phosphate,1,25.886387
140,9AA,negative,+Cl,S-Adenosylhomocysteine,1,175.04391
141,9AA,negative,+Cl,S-Adenosylmethionine,0,0.0
142,9AA,negative,+Cl,SM d18:1-16:0,1,1552.3076
143,9AA,negative,+Cl,Serine,0,0.0
144,9AA,negative,+Cl,Serotonin,0,0.0
145,9AA,negative,+Cl,Spermidine,0,0.0
146,9AA,negative,+Cl,Spermine,0,0.0
147,9AA,negative,+Cl,Succinic acid,0,0.0
148,9AA,negative,+Cl,Sulfo GalCer 18:0(2S-OH),0,0.0
149,9AA,negative,+Cl,TG 15:0-18:1-15:0,0,0.0
150,9AA,negative,+Cl,Taurine,1,20.201468
151,9AA,negative,+Cl,Taurocholic acid,0,0.0
152,9AA,negative,+Cl,Tetrahydrofolic acid,0,0.0
153,9AA,negative,+Cl,Thiamine,0,0.0
154,9AA,negative,+Cl,Thymine,0,0.0
155,9AA,negative,+Cl,Tryptophan,0,0.0
156,9AA,negative,+Cl,Tyrosine,0,0.0
157,9AA,negative,+Cl,Uracil,1,158.1669
158,9AA,negative,+Cl,Ureidosuccinic acid,0,0.0
159,9AA,negative,+Cl,Uric acid,1,190.47316
160,9AA,negative,+Cl,Uridine,1,501.33884
161,9AA,negative,+Cl,Uridine diphosphate,0,0.0
162,9AA,negative,+Cl,Uridine diphosphate glucose,0,0.0
163,9AA,negative,+Cl,Uridine diphosphate glucuronic acid,0,0.0
164,9AA,negative,+Cl,Uridine diphosphate-N-acetylglucosamine,0,0.0
165,9AA,negative,+Cl,Urocanic acid,1,191.05109
166,9AA,negative,+Cl,Valine,0,0.0
167,9AA,negative,+Cl,Xanthine,1,2081.4585
168,9AA,negative,+Cl,alpha-tocopherol,0,0.0
169,9AA,negative,+Cl,cis-Aconitic acid,0,0.0
170,9AA,negative,+Cl,gamma-Aminobutyric acid,0,0.0
171,9AA,negative,+Cl,myo-Inositol,1,275.07004
172,9AA,negative,+H,2-Oxoglutaric acid,0,0.0
173,9AA,negative,+H,3-Hydroxyanthranilic acid,0,0.0
174,9AA,negative,+H,3-Hydroxymethylglutaric acid,0,0.0
175,9AA,negative,+H,3-Phosphoglyceric acid,0,0.0
176,9AA,negative,+H,"4,5-Dihydroorotic acid",0,0.0
177,9AA,negative,+H,4-Hydroxyproline,0,0.0
178,9AA,negative,+H,5-Hydroxyindoleacetic acid,0,0.0
179,9AA,negative,+H,6-Phosphogluconic acid,0,0.0
180,9AA,negative,+H,Acetoacetic acid,0,0.0
181,9AA,negative,+H,Acetyl-CoA,0,0.0
182,9AA,negative,+H,Acetylcarnitine,0,0.0
183,9AA,negative,+H,Acetylcholine,0,0.0
184,9AA,negative,+H,Adenine,0,0.0
185,9AA,negative,+H,Adenosine diphosphate,0,0.0
186,9AA,negative,+H,Adenosine monophosphate,0,0.0
187,9AA,negative,+H,Adenosine triphosphate,0,0.0
188,9AA,negative,+H,Agmatine,0,0.0
189,9AA,negative,+H,Arachidonic acid,0,0.0
190,9AA,negative,+H,Arginine,0,0.0
191,9AA,negative,+H,Argininosuccinic acid,0,0.0
192,9AA,negative,+H,Ascorbic acid,0,0.0
193,9AA,negative,+H,Asparagine,0,0.0
194,9AA,negative,+H,Aspartic acid,0,0.0
195,9AA,negative,+H,Biotin,0,0.0
196,9AA,negative,+H,Butyric acid,0,0.0
197,9AA,negative,+H,CAR 16:0,0,0.0
198,9AA,negative,+H,Carbamoyl phosphate,0,0.0
199,9AA,negative,+H,Cardiolipin 18:1,0,0.0
200,9AA,negative,+H,Carnitine,0,0.0
201,9AA,negative,+H,Carnosine,0,0.0
202,9AA,negative,+H,Cer d8:1/22:0 Cer,0,0.0
203,9AA,negative,+H,Cholecalciferol,0,0.0
204,9AA,negative,+H,Cholesterol,0,0.0
205,9AA,negative,+H,Cholesteryl acetate,0,0.0
206,9AA,negative,+H,Cholesteryl ester 17:0,0,0.0
207,9AA,negative,+H,Cholic acid,0,0.0
208,9AA,negative,+H,Choline,0,0.0
209,9AA,negative,+H,Citric acid,0,0.0
210,9AA,negative,+H,Citrulline,0,0.0
211,9AA,negative,+H,Coenzyme A,0,0.0
212,9AA,negative,+H,Creatine,0,0.0
213,9AA,negative,+H,Creatinine,0,0.0
214,9AA,negative,+H,Cyclic adenosine monophosphate,0,0.0
215,9AA,negative,+H,Cysteine,0,0.0
216,9AA,negative,+H,Cystine,0,0.0
217,9AA,negative,+H,Cytidine,0,0.0
218,9AA,negative,+H,Cytidine monophosphate,0,0.0
219,9AA,negative,+H,Cytosine,0,0.0
220,9AA,negative,+H,DG 18:0-22:6,0,0.0
221,9AA,negative,+H,Dihydroxyacetone,0,0.0
222,9AA,negative,+H,Dihydroxyacetone phosphate,0,0.0
223,9AA,negative,+H,Dopamine,0,0.0
224,9AA,negative,+H,Epinephrine,0,0.0
225,9AA,negative,+H,Estradiol,0,0.0
226,9AA,negative,+H,Flavin adenine dinucleotide,0,0.0
227,9AA,negative,+H,Flavin mononucleotide,0,0.0
228,9AA,negative,+H,Folic acid,0,0.0
229,9AA,negative,+H,"Fructose 1,6-bisphosphate",0,0.0
230,9AA,negative,+H,Fumaric acid,0,0.0
231,9AA,negative,+H,GM3 Ganglioside 18:0,0,0.0
