,observed_value,prediction,regressor,name_short,adduct,matrix,polarity,fold
0,5.375443979142473,3.867448150373178,MLP,Malic acid,-H,9AA,negative,0
1,5.3199340325654045,3.929877570912474,MLP,Taurine,-H,9AA,negative,0
2,5.44490784014757,3.9013084366153485,MLP,N-Acetylaspartic acid,-H,9AA,negative,0
3,3.9789439936786417,3.8991590721437808,MLP,Ascorbic acid,-H,9AA,negative,0
4,4.852406059687796,3.915872860604187,MLP,cis-Aconitic acid,-H,9AA,negative,0
5,5.206625379926532,3.877006949656157,MLP,Citric acid,-H,9AA,negative,0
6,5.939249906533922,3.9739285038248777,MLP,Adenosine diphosphate,-H,9AA,negative,0
7,4.541898383022101,3.9142162849820483,MLP,Glutamic acid,-H,9AA,negative,0
8,5.012308835041252,3.8918420652237744,MLP,6-Phosphogluconic acid,-H,9AA,negative,0
9,5.164587787189345,3.89724916936409,MLP,3-Phosphoglyceric acid,-H,9AA,negative,0
10,5.417869002964245,3.9012883392690934,MLP,Lyso PS 17:1,-H,9AA,negative,0
11,5.197866060993347,3.903507080799053,MLP,Phosphoenolpyruvic acid,-H,9AA,negative,0
12,5.076314327370768,3.9638617782168137,MLP,Carnosine,-H,9AA,negative,0
13,4.2583717408536526,3.9740303339738734,MLP,Cholic acid,-H,9AA,negative,0
14,4.208115674739658,4.04470544271151,MLP,Aspartic acid,-H,9AA,negative,0
15,5.004369745474085,3.8896257386183466,MLP,PS (POPS) 16:0-18:1,-H,9AA,negative,0
16,4.0631563769843755,3.9014898929589164,MLP,Citrulline,-H,9AA,negative,0
17,0.0,3.959856268486756,MLP,Lyso PA 18:1,-H,9AA,negative,0
18,0.0,3.9039025505064338,MLP,Lyso PC 15:0,-H,9AA,negative,0
19,0.0,3.8826877319538804,MLP,Nicotinamide adenine dinucleotide (NAD),-H,9AA,negative,0
20,0.0,3.939101523760799,MLP,Tetrahydrofolic acid,-H,9AA,negative,0
21,0.0,3.9524540949823006,MLP,Flavin mononucleotide,-H,9AA,negative,0
22,0.0,3.9417762601729995,MLP,Thiamine,-H,9AA,negative,0
23,0.0,3.9137602016329542,MLP,Glucosamine,-H,9AA,negative,0
24,0.0,3.9386935903213387,MLP,Glycerophosphocholine,-H,9AA,negative,0
25,0.0,3.930216150657505,MLP,3-Hydroxymethylglutaric acid,-H,9AA,negative,0
26,0.0,3.9302848241024666,MLP,Nicotinamide ribotide,-H,9AA,negative,0
27,0.0,3.887651445649435,MLP,PC 15:0-18:1,-H,9AA,negative,0
28,0.0,3.9514854381604883,MLP,Folic acid,-H,9AA,negative,0
29,0.0,3.898032458515214,MLP,Cyclic adenosine monophosphate,-H,9AA,negative,0
30,0.0,3.9508559945547495,MLP,PC (O) C16-18:1,-H,9AA,negative,0
31,0.0,3.902382652856721,MLP,Cytidine monophosphate,-H,9AA,negative,0
32,0.0,3.8947519179924015,MLP,S-Adenosylmethionine,-H,9AA,negative,0
33,0.0,3.8967215326861293,MLP,Niacinamide,-H,9AA,negative,0
34,0.0,3.870400495130432,MLP,"N6,N6,N6-Trimethyllysine",-H,9AA,negative,0
35,0.0,3.9168494059535175,MLP,MG 18:1,-H,9AA,negative,0
36,0.0,3.9524223284022075,MLP,Carnitine,-H,9AA,negative,0
37,0.0,3.893281874752547,MLP,Acetylcholine,-H,9AA,negative,0
