,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,fold
82,0.0013262212,0.0006395497,3.7900994e-05,0.0044318247,0.0004080375,0.0072233547,1.4117324e-05,0.0029959665,0.001352796,0.0050920895,0.00022196976,0.00831719,2.979956e-05,0.0070736613,0.002413842,0.0018054525,0.0008069002,0.0007002275,0.00033172074,0.003347829,0
1,0.01062419,0.008353965,0.008264947,0.06851765,0.026761357,0.028170979,0.0065064854,0.05128722,0.006684718,0.016627308,0.0050426526,0.021357631,0.008756577,0.056283057,0.021893615,0.006951016,0.0113611305,0.01819402,0.008096583,0.02957338,0
2,0.0031949682,0.0042140447,0.002401933,0.06944155,0.010341969,0.019494966,0.002265766,0.04526052,0.0019292608,0.012174873,0.0014288321,0.014020933,0.0031332492,0.050082434,0.0064202254,0.0030075083,0.003647652,0.011368808,0.002474402,0.024013188,0
57,0.008884337,0.009879767,0.006242206,0.04991243,0.023414144,0.029738067,0.0037827792,0.03934796,0.005989913,0.018696342,0.004051953,0.025615556,0.004965274,0.052057266,0.023452293,0.00992707,0.009058795,0.016510135,0.0061517763,0.025540477,0
91,0.010042584,0.0040487982,0.0050402726,0.039116245,0.021962967,0.013361011,0.0051432843,0.029782752,0.004733176,0.008937972,0.0035290497,0.00928882,0.007067666,0.023776868,0.020340206,0.0031403722,0.009961062,0.0088134,0.0061539807,0.0179812,0
6,0.0034559055,0.002535854,0.0041309497,0.011338957,0.0236246,0.005400037,0.0019860987,0.0075221844,0.0016592392,0.0034894843,0.0010203399,0.0042523374,0.0032024118,0.007475354,0.013786421,0.002117362,0.004492183,0.0036539827,0.0024289296,0.0055070096,0
97,0.089281976,0.006472146,0.03205756,0.028945005,0.08708723,0.015455867,0.019721903,0.024225205,0.058075383,0.010824313,0.02825711,0.012096516,0.03283386,0.020349866,0.074765,0.0062947506,0.08828232,0.010879059,0.06415186,0.01743242,0
39,0.92624253,0.006579915,0.0878579,0.019046359,0.12799002,0.02216335,0.037838385,0.019967247,0.9509977,0.016459519,0.6220181,0.022647364,0.08551566,0.018820388,0.21370892,0.0151780965,0.8833512,0.008245131,0.8899501,0.019138576,0
92,0.0019029994,0.08274011,0.0027091624,0.9526649,0.0062192413,0.63027334,0.005126695,0.9301718,0.0014746393,0.4079113,0.0028534024,0.52142626,0.0041754697,0.9656654,0.0046004443,0.06692628,0.0021264593,0.30631834,0.002096722,0.77059126,0
130,0.99532616,0.00928937,0.86040485,0.020938301,0.6650165,0.015300994,0.6790796,0.020000199,0.9976374,0.011179965,0.9706052,0.015112981,0.85491395,0.014566601,0.5544252,0.017283589,0.9939911,0.009237279,0.99468416,0.01830506,0
