,observed_value,prediction,regressor,name_short,adduct,matrix,polarity,fold
0,5.375443979142473,3.8598378754256077,MLP,Malic acid,-H,9AA,negative,0
1,5.3199340325654045,3.9217445115395484,MLP,Taurine,-H,9AA,negative,0
2,5.44490784014757,3.8283458121169054,MLP,N-Acetylaspartic acid,-H,9AA,negative,0
3,3.9789439936786417,3.891735786750212,MLP,Ascorbic acid,-H,9AA,negative,0
4,4.852406059687796,3.972029945457652,MLP,cis-Aconitic acid,-H,9AA,negative,0
5,5.206625379926532,3.995040515252548,MLP,Citric acid,-H,9AA,negative,0
6,5.939249906533922,3.9033158516224153,MLP,Adenosine diphosphate,-H,9AA,negative,0
7,4.541898383022101,3.820430667441211,MLP,Glutamic acid,-H,9AA,negative,0
8,5.012308835041252,3.853532233408752,MLP,6-Phosphogluconic acid,-H,9AA,negative,0
9,5.164587787189345,3.8614327219122786,MLP,3-Phosphoglyceric acid,-H,9AA,negative,0
10,5.417869002964245,3.8197604421107196,MLP,Lyso PS 17:1,-H,9AA,negative,0
11,5.197866060993347,4.023262536081342,MLP,Phosphoenolpyruvic acid,-H,9AA,negative,0
12,5.076314327370768,3.878391531218963,MLP,Carnosine,-H,9AA,negative,0
13,4.2583717408536526,3.940840695354313,MLP,Cholic acid,-H,9AA,negative,0
14,4.208115674739658,3.849767844131186,MLP,Aspartic acid,-H,9AA,negative,0
15,5.004369745474085,3.8345755178350234,MLP,PS (POPS) 16:0-18:1,-H,9AA,negative,0
16,4.0631563769843755,3.8122614623243627,MLP,Citrulline,-H,9AA,negative,0
17,0.0,3.9230244628044404,MLP,Lyso PA 18:1,-H,9AA,negative,0
18,0.0,3.812241544979679,MLP,Lyso PC 15:0,-H,9AA,negative,0
19,0.0,3.8268592125854943,MLP,Nicotinamide adenine dinucleotide (NAD),-H,9AA,negative,0
20,0.0,3.923226245115274,MLP,Tetrahydrofolic acid,-H,9AA,negative,0
21,0.0,3.983485142957013,MLP,Flavin mononucleotide,-H,9AA,negative,0
22,0.0,3.8857976760956396,MLP,Thiamine,-H,9AA,negative,0
23,0.0,3.832234560250726,MLP,Glucosamine,-H,9AA,negative,0
24,0.0,3.9050870956543347,MLP,Glycerophosphocholine,-H,9AA,negative,0
25,0.0,4.025605815027967,MLP,3-Hydroxymethylglutaric acid,-H,9AA,negative,0
26,0.0,3.92740302930165,MLP,Nicotinamide ribotide,-H,9AA,negative,0
27,0.0,3.8212094646311603,MLP,PC 15:0-18:1,-H,9AA,negative,0
28,0.0,3.974522373064952,MLP,Folic acid,-H,9AA,negative,0
29,0.0,3.928819187036674,MLP,Cyclic adenosine monophosphate,-H,9AA,negative,0
30,0.0,3.9442209015299112,MLP,PC (O) C16-18:1,-H,9AA,negative,0
31,0.0,4.026107854825116,MLP,Cytidine monophosphate,-H,9AA,negative,0
32,0.0,4.019106168635707,MLP,S-Adenosylmethionine,-H,9AA,negative,0
33,0.0,4.002200978568189,MLP,Niacinamide,-H,9AA,negative,0
34,0.0,3.8237181922257926,MLP,"N6,N6,N6-Trimethyllysine",-H,9AA,negative,0
35,0.0,3.8464288104500546,MLP,MG 18:1,-H,9AA,negative,0
36,0.0,3.861107062705991,MLP,Carnitine,-H,9AA,negative,0
37,0.0,3.9278175256513266,MLP,Acetylcholine,-H,9AA,negative,0
38,0.0,3.8399773045002945,MLP,Cholecalciferol,-H,9AA,negative,0
39,0.0,4.027517027042026,MLP,Nicotinamide riboside,-H,9AA,negative,0
40,0.0,3.999174913357156,MLP,Acetylcarnitine,-H,9AA,negative,0
41,0.0,3.8283957146827725,MLP,Spermidine,-H,9AA,negative,0
42,0.0,4.023471511322544,MLP,Cholesterol,-H,9AA,negative,0
43,0.0,3.9875285011019517,MLP,Putrescine,-H,9AA,negative,0
0,4.29330833634685,4.02708316786624,MLP,Dihydroxyacetone phosphate,-H,9AA,negative,1
1,4.951137084996772,4.034043832590719,MLP,Uric acid,-H,9AA,negative,1
2,4.66198892224018,4.050999390421964,MLP,PA 16:0-18:1,-H,9AA,negative,1
3,4.814306627793246,3.9050166824604973,MLP,2-Oxoglutaric acid,-H,9AA,negative,1
4,5.641773056029051,3.9465506468019624,MLP,Lyso PI 17:1,-H,9AA,negative,1
5,4.952913805825025,4.00284640715655,MLP,PG 16:0-18:1,-H,9AA,negative,1
6,5.577610157677287,3.892704768638673,MLP,"Fructose 1,6-bisphosphate",-H,9AA,negative,1
7,5.087021412007154,3.887427907004196,MLP,Glucose 6-phosphate,-H,9AA,negative,1
8,3.6014676006840505,4.038448450957545,MLP,Serine,-H,9AA,negative,1
9,2.971589091277522,3.887400638650382,MLP,gamma-Aminobutyric acid,-H,9AA,negative,1
10,3.508502825546985,4.03274254602999,MLP,GlcCer d18:1/18:0,-H,9AA,negative,1
11,3.40681419340028,3.9549136769691957,MLP,Adenine,-H,9AA,negative,1
12,5.33188795094239,4.032593295768171,MLP,Lyso PE 18:0,-H,9AA,negative,1
13,4.861136433937232,3.9067068539497356,MLP,Xanthine,-H,9AA,negative,1
14,4.078243606162822,4.030786830638692,MLP,Histidine,-H,9AA,negative,1
15,5.544729838944959,4.273263505278739,MLP,Oxidized glutathione,-H,9AA,negative,1
16,3.77568616081301,3.9994486208290274,MLP,Pyridoxine,-H,9AA,negative,1
17,0.0,3.963136776096908,MLP,Retinoic acid,-H,9AA,negative,1
18,0.0,4.0345331337519434,MLP,Palmitic acid,-H,9AA,negative,1
19,0.0,3.9978433555270185,MLP,Agmatine,-H,9AA,negative,1
20,0.0,3.920782354346252,MLP,Choline,-H,9AA,negative,1
21,0.0,2.1689681048075675,MLP,Malic acid,+Cl,9AA,negative,1
22,0.0,2.525516546944094,MLP,Oxalacetic acid,+Cl,9AA,negative,1
23,0.0,2.834060657062473,MLP,N-Acetylaspartic acid,+Cl,9AA,negative,1
24,0.0,2.195824687154972,MLP,Ascorbic acid,+Cl,9AA,negative,1
25,0.0,2.4318622610535687,MLP,cis-Aconitic acid,+Cl,9AA,negative,1
26,0.0,2.4120761390149736,MLP,Citric acid,+Cl,9AA,negative,1
27,0.0,2.4874253728250615,MLP,Adenosine diphosphate,+Cl,9AA,negative,1
28,0.0,2.5522604467062315,MLP,6-Phosphogluconic acid,+Cl,9AA,negative,1
29,0.0,2.170527393439469,MLP,3-Phosphoglyceric acid,+Cl,9AA,negative,1
30,0.0,2.33841136291928,MLP,Phosphoenolpyruvic acid,+Cl,9AA,negative,1
31,0.0,2.420632576472628,MLP,Dihydroxyacetone phosphate,+Cl,9AA,negative,1
32,0.0,2.3497774261207756,MLP,Cholic acid,+Cl,9AA,negative,1
33,0.0,2.1585507980841383,MLP,Aspartic acid,+Cl,9AA,negative,1
34,0.0,2.512628288138626,MLP,Serine,+Cl,9AA,negative,1
35,0.0,2.158087637730785,MLP,gamma-Aminobutyric acid,+Cl,9AA,negative,1
36,0.0,2.4626295337260378,MLP,Lyso PE 18:0,+Cl,9AA,negative,1
37,0.0,2.445293724073052,MLP,Histidine,+Cl,9AA,negative,1
38,0.0,2.557683669628028,MLP,Oxidized glutathione,+Cl,9AA,negative,1
39,0.0,3.3924179946836306,MLP,Argininosuccinic acid,+Cl,9AA,negative,1
40,0.0,2.198468379799408,MLP,Quinolinic acid,+Cl,9AA,negative,1
41,0.0,2.2790721701163066,MLP,Hypoxanthine,+Cl,9AA,negative,1
42,0.0,2.5548703080284376,MLP,Coenzyme A,+Cl,9AA,negative,1
43,0.0,2.4705757727815536,MLP,Creatinine,+Cl,9AA,negative,1
0,5.187259868417889,3.9910069565840516,MLP,Myo-inositol 1-phosphate,-H,9AA,negative,2
