,observed_value,prediction,regressor,name_short,adduct,matrix,polarity,fold
0,5.375443979142473,4.464669727690977,MLP,Malic acid,-H,9AA,negative,0
1,5.3199340325654045,2.721462714407166,MLP,Taurine,-H,9AA,negative,0
2,5.44490784014757,4.304970106087809,MLP,N-Acetylaspartic acid,-H,9AA,negative,0
3,3.9789439936786417,4.15989537990538,MLP,Ascorbic acid,-H,9AA,negative,0
4,4.852406059687796,5.4246721952717625,MLP,cis-Aconitic acid,-H,9AA,negative,0
5,5.206625379926532,5.025679284271303,MLP,Citric acid,-H,9AA,negative,0
6,5.939249906533922,4.870990171525019,MLP,Adenosine diphosphate,-H,9AA,negative,0
7,4.541898383022101,3.7831641090100803,MLP,Glutamic acid,-H,9AA,negative,0
8,5.012308835041252,5.269276789756743,MLP,6-Phosphogluconic acid,-H,9AA,negative,0
9,5.164587787189345,5.205044594094385,MLP,3-Phosphoglyceric acid,-H,9AA,negative,0
10,5.417869002964245,4.275341184368818,MLP,Lyso PS 17:1,-H,9AA,negative,0
11,5.197866060993347,5.626823509354054,MLP,Phosphoenolpyruvic acid,-H,9AA,negative,0
12,5.076314327370768,3.1548741769482733,MLP,Carnosine,-H,9AA,negative,0
13,4.2583717408536526,3.5042719437691794,MLP,Cholic acid,-H,9AA,negative,0
14,4.208115674739658,3.785994439735263,MLP,Aspartic acid,-H,9AA,negative,0
15,5.004369745474085,4.100625196566176,MLP,PS (POPS) 16:0-18:1,-H,9AA,negative,0
16,4.0631563769843755,3.67498812382634,MLP,Citrulline,-H,9AA,negative,0
17,0.0,4.468461548621537,MLP,Lyso PA 18:1,-H,9AA,negative,0
18,0.0,3.356037708811714,MLP,Lyso PC 15:0,-H,9AA,negative,0
19,0.0,4.809628648669509,MLP,Nicotinamide adenine dinucleotide (NAD),-H,9AA,negative,0
20,0.0,4.708151206697389,MLP,Tetrahydrofolic acid,-H,9AA,negative,0
21,0.0,4.986949342559873,MLP,Flavin mononucleotide,-H,9AA,negative,0
22,0.0,2.7419155729111484,MLP,Thiamine,-H,9AA,negative,0
23,0.0,3.4463237238595834,MLP,Glucosamine,-H,9AA,negative,0
24,0.0,3.622964548566582,MLP,Glycerophosphocholine,-H,9AA,negative,0
25,0.0,4.256685651060505,MLP,3-Hydroxymethylglutaric acid,-H,9AA,negative,0
26,0.0,4.83265155050504,MLP,Nicotinamide ribotide,-H,9AA,negative,0
27,0.0,3.274285400047696,MLP,PC 15:0-18:1,-H,9AA,negative,0
28,0.0,4.656379980231642,MLP,Folic acid,-H,9AA,negative,0
29,0.0,4.206463089358102,MLP,Cyclic adenosine monophosphate,-H,9AA,negative,0
30,0.0,2.99752317349203,MLP,PC (O) C16-18:1,-H,9AA,negative,0
31,0.0,4.957320480372301,MLP,Cytidine monophosphate,-H,9AA,negative,0
32,0.0,3.999055277296139,MLP,S-Adenosylmethionine,-H,9AA,negative,0
33,0.0,2.964325344651976,MLP,Niacinamide,-H,9AA,negative,0
34,0.0,2.036123884564523,MLP,"N6,N6,N6-Trimethyllysine",-H,9AA,negative,0
35,0.0,2.2216008748862413,MLP,MG 18:1,-H,9AA,negative,0
36,0.0,2.965206965194711,MLP,Carnitine,-H,9AA,negative,0
37,0.0,2.2364327765688197,MLP,Acetylcholine,-H,9AA,negative,0
38,0.0,1.536681081523598,MLP,Cholecalciferol,-H,9AA,negative,0
39,0.0,2.9721612836650717,MLP,Nicotinamide riboside,-H,9AA,negative,0
40,0.0,2.828307272368175,MLP,Acetylcarnitine,-H,9AA,negative,0
41,0.0,2.047833749553578,MLP,Spermidine,-H,9AA,negative,0
42,0.0,1.529025291033234,MLP,Cholesterol,-H,9AA,negative,0
43,0.0,2.0265738201098147,MLP,Putrescine,-H,9AA,negative,0
0,4.29330833634685,5.140026924354788,MLP,Dihydroxyacetone phosphate,-H,9AA,negative,1
1,4.951137084996772,3.322536933644252,MLP,Uric acid,-H,9AA,negative,1
2,4.66198892224018,3.3884661354014156,MLP,PA 16:0-18:1,-H,9AA,negative,1
3,4.814306627793246,4.834337580544353,MLP,2-Oxoglutaric acid,-H,9AA,negative,1
4,5.641773056029051,4.991801869217996,MLP,Lyso PI 17:1,-H,9AA,negative,1
5,4.952913805825025,3.7557864413738566,MLP,PG 16:0-18:1,-H,9AA,negative,1
6,5.577610157677287,4.866010886406577,MLP,"Fructose 1,6-bisphosphate",-H,9AA,negative,1
7,5.087021412007154,5.1033585404956545,MLP,Glucose 6-phosphate,-H,9AA,negative,1
8,3.6014676006840505,2.963128456918863,MLP,Serine,-H,9AA,negative,1
9,2.971589091277522,2.8373953111794066,MLP,gamma-Aminobutyric acid,-H,9AA,negative,1
10,3.508502825546985,2.9932595122204138,MLP,GlcCer d18:1/18:0,-H,9AA,negative,1
11,3.40681419340028,3.19418290491966,MLP,Adenine,-H,9AA,negative,1
12,5.33188795094239,4.0043648447388875,MLP,Lyso PE 18:0,-H,9AA,negative,1
13,4.861136433937232,3.290982884024211,MLP,Xanthine,-H,9AA,negative,1
14,4.078243606162822,3.0708139324977135,MLP,Histidine,-H,9AA,negative,1
15,5.544729838944959,4.868413142104116,MLP,Oxidized glutathione,-H,9AA,negative,1
16,3.77568616081301,3.115387485927853,MLP,Pyridoxine,-H,9AA,negative,1
17,0.0,2.6293874778061057,MLP,Retinoic acid,-H,9AA,negative,1
18,0.0,2.7227518557634345,MLP,Palmitic acid,-H,9AA,negative,1
19,0.0,2.5120414674844813,MLP,Agmatine,-H,9AA,negative,1
20,0.0,2.8683539056704044,MLP,Choline,-H,9AA,negative,1
21,0.0,2.1635990089353596,MLP,Malic acid,+Cl,9AA,negative,1
22,0.0,2.6906358621601183,MLP,Oxalacetic acid,+Cl,9AA,negative,1
23,0.0,2.1486881517453873,MLP,N-Acetylaspartic acid,+Cl,9AA,negative,1
24,0.0,2.373607594078568,MLP,Ascorbic acid,+Cl,9AA,negative,1
25,0.0,2.1569304019628204,MLP,cis-Aconitic acid,+Cl,9AA,negative,1
26,0.0,2.052728615643884,MLP,Citric acid,+Cl,9AA,negative,1
27,0.0,2.376677542569717,MLP,Adenosine diphosphate,+Cl,9AA,negative,1
28,0.0,1.6764922064961552,MLP,6-Phosphogluconic acid,+Cl,9AA,negative,1
29,0.0,2.037213749681248,MLP,3-Phosphoglyceric acid,+Cl,9AA,negative,1
