,observed_value,prediction,regressor,name_short,adduct,matrix,polarity,fold
0,5.375443979142473,3.840516447578595,MLP,Malic acid,-H,9AA,negative,0
1,5.3199340325654045,3.965799834753611,MLP,Taurine,-H,9AA,negative,0
2,5.44490784014757,3.8688225097124715,MLP,N-Acetylaspartic acid,-H,9AA,negative,0
3,3.9789439936786417,3.8804975043994734,MLP,Ascorbic acid,-H,9AA,negative,0
4,4.852406059687796,3.9565836901093143,MLP,cis-Aconitic acid,-H,9AA,negative,0
5,5.206625379926532,3.970063311216832,MLP,Citric acid,-H,9AA,negative,0
6,5.939249906533922,3.90435274717597,MLP,Adenosine diphosphate,-H,9AA,negative,0
7,4.541898383022101,3.8514772888155897,MLP,Glutamic acid,-H,9AA,negative,0
8,5.012308835041252,3.8521312890208184,MLP,6-Phosphogluconic acid,-H,9AA,negative,0
9,5.164587787189345,3.842620515435159,MLP,3-Phosphoglyceric acid,-H,9AA,negative,0
10,5.417869002964245,3.8230448742483416,MLP,Lyso PS 17:1,-H,9AA,negative,0
11,5.197866060993347,4.000786833409565,MLP,Phosphoenolpyruvic acid,-H,9AA,negative,0
12,5.076314327370768,3.8803151957480213,MLP,Carnosine,-H,9AA,negative,0
13,4.2583717408536526,3.9927207062986034,MLP,Cholic acid,-H,9AA,negative,0
14,4.208115674739658,3.827819473867961,MLP,Aspartic acid,-H,9AA,negative,0
15,5.004369745474085,3.8130433583022634,MLP,PS (POPS) 16:0-18:1,-H,9AA,negative,0
16,4.0631563769843755,3.829313684950185,MLP,Citrulline,-H,9AA,negative,0
17,0.0,3.9224524800166645,MLP,Lyso PA 18:1,-H,9AA,negative,0
18,0.0,3.8171040253803317,MLP,Lyso PC 15:0,-H,9AA,negative,0
19,0.0,3.809934410229253,MLP,Nicotinamide adenine dinucleotide (NAD),-H,9AA,negative,0
20,0.0,3.92261675674571,MLP,Tetrahydrofolic acid,-H,9AA,negative,0
21,0.0,3.9839574309194465,MLP,Flavin mononucleotide,-H,9AA,negative,0
22,0.0,3.872748357351358,MLP,Thiamine,-H,9AA,negative,0
23,0.0,3.8578424122789956,MLP,Glucosamine,-H,9AA,negative,0
24,0.0,3.906119704594556,MLP,Glycerophosphocholine,-H,9AA,negative,0
25,0.0,3.988869853566874,MLP,3-Hydroxymethylglutaric acid,-H,9AA,negative,0
26,0.0,3.9739667437842194,MLP,Nicotinamide ribotide,-H,9AA,negative,0
27,0.0,3.820730243599065,MLP,PC 15:0-18:1,-H,9AA,negative,0
28,0.0,3.9755842617950194,MLP,Folic acid,-H,9AA,negative,0
29,0.0,3.932196726601356,MLP,Cyclic adenosine monophosphate,-H,9AA,negative,0
30,0.0,3.9467354766472647,MLP,PC (O) C16-18:1,-H,9AA,negative,0
31,0.0,3.996156712039302,MLP,Cytidine monophosphate,-H,9AA,negative,0
32,0.0,4.010596796034531,MLP,S-Adenosylmethionine,-H,9AA,negative,0
33,0.0,4.001213411691354,MLP,Niacinamide,-H,9AA,negative,0
34,0.0,3.847662901996313,MLP,"N6,N6,N6-Trimethyllysine",-H,9AA,negative,0
35,0.0,3.9179240106332167,MLP,MG 18:1,-H,9AA,negative,0
36,0.0,3.859318260406624,MLP,Carnitine,-H,9AA,negative,0
37,0.0,3.931251188718635,MLP,Acetylcholine,-H,9AA,negative,0
38,0.0,3.864936737163789,MLP,Cholecalciferol,-H,9AA,negative,0
39,0.0,3.993679845393285,MLP,Nicotinamide riboside,-H,9AA,negative,0
40,0.0,3.9724746302107667,MLP,Acetylcarnitine,-H,9AA,negative,0
41,0.0,3.8088550944739414,MLP,Spermidine,-H,9AA,negative,0
42,0.0,3.986352832262471,MLP,Cholesterol,-H,9AA,negative,0
43,0.0,3.987685402881399,MLP,Putrescine,-H,9AA,negative,0
0,4.29330833634685,3.9800634131422465,MLP,Dihydroxyacetone phosphate,-H,9AA,negative,1
1,4.951137084996772,3.983297776849868,MLP,Uric acid,-H,9AA,negative,1
2,4.66198892224018,4.009282862742562,MLP,PA 16:0-18:1,-H,9AA,negative,1
3,4.814306627793246,3.989499878597821,MLP,2-Oxoglutaric acid,-H,9AA,negative,1
4,5.641773056029051,3.974232976309113,MLP,Lyso PI 17:1,-H,9AA,negative,1
5,4.952913805825025,3.9801035041659962,MLP,PG 16:0-18:1,-H,9AA,negative,1
6,5.577610157677287,3.984000837310558,MLP,"Fructose 1,6-bisphosphate",-H,9AA,negative,1
7,5.087021412007154,3.9751636085072852,MLP,Glucose 6-phosphate,-H,9AA,negative,1
8,3.6014676006840505,3.9849282142247247,MLP,Serine,-H,9AA,negative,1
9,2.971589091277522,3.9751233633886236,MLP,gamma-Aminobutyric acid,-H,9AA,negative,1
10,3.508502825546985,3.9807287151594077,MLP,GlcCer d18:1/18:0,-H,9AA,negative,1
11,3.40681419340028,3.975754054564638,MLP,Adenine,-H,9AA,negative,1
12,5.33188795094239,3.9804308351988333,MLP,Lyso PE 18:0,-H,9AA,negative,1
13,4.861136433937232,3.985531852135582,MLP,Xanthine,-H,9AA,negative,1
14,4.078243606162822,3.9798217195568024,MLP,Histidine,-H,9AA,negative,1
15,5.544729838944959,4.0332160531455585,MLP,Oxidized glutathione,-H,9AA,negative,1
16,3.77568616081301,3.9801293717810773,MLP,Pyridoxine,-H,9AA,negative,1
17,0.0,3.976712628807262,MLP,Retinoic acid,-H,9AA,negative,1
18,0.0,3.983907938293186,MLP,Palmitic acid,-H,9AA,negative,1
19,0.0,3.980070290085622,MLP,Agmatine,-H,9AA,negative,1
20,0.0,3.967542995409669,MLP,Choline,-H,9AA,negative,1
21,0.0,2.1586923890894534,MLP,Malic acid,+Cl,9AA,negative,1
22,0.0,2.541805564136553,MLP,Oxalacetic acid,+Cl,9AA,negative,1
23,0.0,2.9780097450957306,MLP,N-Acetylaspartic acid,+Cl,9AA,negative,1
24,0.0,2.233670686265313,MLP,Ascorbic acid,+Cl,9AA,negative,1
25,0.0,2.3919149599270457,MLP,cis-Aconitic acid,+Cl,9AA,negative,1
26,0.0,2.3791331517271086,MLP,Citric acid,+Cl,9AA,negative,1
27,0.0,2.477651621732678,MLP,Adenosine diphosphate,+Cl,9AA,negative,1
28,0.0,2.5855244969977593,MLP,6-Phosphogluconic acid,+Cl,9AA,negative,1
29,0.0,2.1632341881838117,MLP,3-Phosphoglyceric acid,+Cl,9AA,negative,1
30,0.0,2.3353874624161164,MLP,Phosphoenolpyruvic acid,+Cl,9AA,negative,1
31,0.0,2.383943943469635,MLP,Dihydroxyacetone phosphate,+Cl,9AA,negative,1
32,0.0,2.1001525458388524,MLP,Cholic acid,+Cl,9AA,negative,1
33,0.0,2.1284762922607032,MLP,Aspartic acid,+Cl,9AA,negative,1
34,0.0,2.519862358947974,MLP,Serine,+Cl,9AA,negative,1
35,0.0,2.0754415555689487,MLP,gamma-Aminobutyric acid,+Cl,9AA,negative,1
36,0.0,2.4350135927557006,MLP,Lyso PE 18:0,+Cl,9AA,negative,1
37,0.0,2.4077722942385673,MLP,Histidine,+Cl,9AA,negative,1
38,0.0,2.2040082491542208,MLP,Oxidized glutathione,+Cl,9AA,negative,1
39,0.0,3.606299359797851,MLP,Argininosuccinic acid,+Cl,9AA,negative,1
40,0.0,2.240415879062789,MLP,Quinolinic acid,+Cl,9AA,negative,1
41,0.0,2.2893026795831255,MLP,Hypoxanthine,+Cl,9AA,negative,1
42,0.0,2.589516950790845,MLP,Coenzyme A,+Cl,9AA,negative,1
43,0.0,2.448677658317427,MLP,Creatinine,+Cl,9AA,negative,1
0,5.187259868417889,3.9711728582495147,MLP,Myo-inositol 1-phosphate,-H,9AA,negative,2
1,4.851807597865303,4.158725493756779,MLP,Malonic acid,-H,9AA,negative,2
2,4.987449242191788,4.028711202345919,MLP,PI 16:0-18:1,-H,9AA,negative,2
3,4.78146499660177,4.027046620063927,MLP,Succinic acid,-H,9AA,negative,2
4,4.723556475765371,4.0032552697371795,MLP,Glycerol 3-phosphate,-H,9AA,negative,2
5,4.865973351827255,3.9867246690598592,MLP,Ribulose 5-phosphate,-H,9AA,negative,2
6,4.714115980594938,4.057723957440881,MLP,Gluconic acid,-H,9AA,negative,2
7,4.279287089640111,4.570909947486827,MLP,Mevalonic acid,-H,9AA,negative,2
8,4.443890343962045,4.947393132073731,MLP,Argininosuccinic acid,-H,9AA,negative,2
9,4.404749585288414,3.949962179088534,MLP,Quinolinic acid,-H,9AA,negative,2
10,4.8677908785114905,3.951361754407382,MLP,Glucosamine 6-phosphate,-H,9AA,negative,2
11,3.588718548033654,4.001969114393247,MLP,Hypoxanthine,-H,9AA,negative,2
12,3.7815044163374036,4.094741193782049,MLP,Arginine,-H,9AA,negative,2
13,3.8008710262539327,4.127684276724808,MLP,Coenzyme A,-H,9AA,negative,2
14,2.5329693079368925,4.040043508723329,MLP,Cytosine,-H,9AA,negative,2
15,3.328813314275123,4.089028022959805,MLP,Creatinine,-H,9AA,negative,2
16,3.4808243581367546,4.105745183391422,MLP,Phosphocreatine,-H,9AA,negative,2
17,0.0,2.172808076428112,MLP,2-Oxoglutaric acid,+Cl,9AA,negative,2
18,0.0,2.2386332249522085,MLP,Lyso PI 17:1,+Cl,9AA,negative,2
19,0.0,2.3273887341409076,MLP,PG 16:0-18:1,+Cl,9AA,negative,2
20,0.0,2.1373379761006994,MLP,"Fructose 1,6-bisphosphate",+Cl,9AA,negative,2
21,0.0,2.627850245284451,MLP,Malonic acid,+Cl,9AA,negative,2
22,0.0,2.2348160944311375,MLP,PI 16:0-18:1,+Cl,9AA,negative,2
23,0.0,2.5440588906334205,MLP,Fumaric acid,+Cl,9AA,negative,2
24,0.0,2.3167028378906442,MLP,Succinic acid,+Cl,9AA,negative,2
25,0.0,2.4154277836664098,MLP,Gluconic acid,+Cl,9AA,negative,2
26,0.0,2.182051937521302,MLP,Cardiolipin 18:1,+Cl,9AA,negative,2
27,0.0,2.307261318012778,MLP,PI(5)P 18:1,+Cl,9AA,negative,2
28,0.0,2.4688460236367726,MLP,Lyso PG 16:0,+Cl,9AA,negative,2
