,observed_value,prediction,regressor,name_short,adduct,matrix,polarity,fold
0,5.375443979142473,4.281435385829377,MLP,Malic acid,-H,9AA,negative,0
1,5.3199340325654045,3.258823942853333,MLP,Taurine,-H,9AA,negative,0
2,5.44490784014757,4.32707184751729,MLP,N-Acetylaspartic acid,-H,9AA,negative,0
3,3.9789439936786417,4.05672792088891,MLP,Ascorbic acid,-H,9AA,negative,0
4,4.852406059687796,5.131810687991185,MLP,cis-Aconitic acid,-H,9AA,negative,0
5,5.206625379926532,4.9394708515037875,MLP,Citric acid,-H,9AA,negative,0
6,5.939249906533922,5.2653059807050315,MLP,Adenosine diphosphate,-H,9AA,negative,0
7,4.541898383022101,3.870374601626408,MLP,Glutamic acid,-H,9AA,negative,0
8,5.012308835041252,5.242981151827525,MLP,6-Phosphogluconic acid,-H,9AA,negative,0
9,5.164587787189345,5.097801363087443,MLP,3-Phosphoglyceric acid,-H,9AA,negative,0
10,5.417869002964245,4.17210510109706,MLP,Lyso PS 17:1,-H,9AA,negative,0
11,5.197866060993347,5.425052495030278,MLP,Phosphoenolpyruvic acid,-H,9AA,negative,0
12,5.076314327370768,3.482059033150049,MLP,Carnosine,-H,9AA,negative,0
13,4.2583717408536526,3.352737839067952,MLP,Cholic acid,-H,9AA,negative,0
14,4.208115674739658,3.7627162648684713,MLP,Aspartic acid,-H,9AA,negative,0
15,5.004369745474085,3.69229783409239,MLP,PS (POPS) 16:0-18:1,-H,9AA,negative,0
16,4.0631563769843755,3.579838606277938,MLP,Citrulline,-H,9AA,negative,0
17,0.0,4.693761054513057,MLP,Lyso PA 18:1,-H,9AA,negative,0
18,0.0,3.21743328943828,MLP,Lyso PC 15:0,-H,9AA,negative,0
19,0.0,5.120829358828658,MLP,Nicotinamide adenine dinucleotide (NAD),-H,9AA,negative,0
20,0.0,4.497536645204516,MLP,Tetrahydrofolic acid,-H,9AA,negative,0
21,0.0,4.936515390631305,MLP,Flavin mononucleotide,-H,9AA,negative,0
22,0.0,2.523207178903824,MLP,Thiamine,-H,9AA,negative,0
23,0.0,3.577180536390646,MLP,Glucosamine,-H,9AA,negative,0
24,0.0,4.026964747417145,MLP,Glycerophosphocholine,-H,9AA,negative,0
25,0.0,4.224133479845096,MLP,3-Hydroxymethylglutaric acid,-H,9AA,negative,0
26,0.0,5.33009971196653,MLP,Nicotinamide ribotide,-H,9AA,negative,0
27,0.0,2.8369716660397692,MLP,PC 15:0-18:1,-H,9AA,negative,0
28,0.0,4.627655804105958,MLP,Folic acid,-H,9AA,negative,0
29,0.0,4.593525527253085,MLP,Cyclic adenosine monophosphate,-H,9AA,negative,0
30,0.0,2.4247122447603418,MLP,PC (O) C16-18:1,-H,9AA,negative,0
31,0.0,5.381524188680791,MLP,Cytidine monophosphate,-H,9AA,negative,0
32,0.0,4.223620020985634,MLP,S-Adenosylmethionine,-H,9AA,negative,0
33,0.0,2.960133757799018,MLP,Niacinamide,-H,9AA,negative,0
34,0.0,2.0819676210732796,MLP,"N6,N6,N6-Trimethyllysine",-H,9AA,negative,0
35,0.0,2.3915782261045737,MLP,MG 18:1,-H,9AA,negative,0
36,0.0,3.382566164636315,MLP,Carnitine,-H,9AA,negative,0
37,0.0,1.557357389141299,MLP,Acetylcholine,-H,9AA,negative,0
38,0.0,0.7976329362124677,MLP,Cholecalciferol,-H,9AA,negative,0
39,0.0,3.2780984092434773,MLP,Nicotinamide riboside,-H,9AA,negative,0
40,0.0,3.7195949695100285,MLP,Acetylcarnitine,-H,9AA,negative,0
41,0.0,1.635900926866491,MLP,Spermidine,-H,9AA,negative,0
42,0.0,0.7858012579407421,MLP,Cholesterol,-H,9AA,negative,0
43,0.0,1.9400672035304507,MLP,Putrescine,-H,9AA,negative,0
0,4.29330833634685,4.870333204284027,MLP,Dihydroxyacetone phosphate,-H,9AA,negative,1
1,4.951137084996772,3.5317204360763896,MLP,Uric acid,-H,9AA,negative,1
2,4.66198892224018,4.295803925411505,MLP,PA 16:0-18:1,-H,9AA,negative,1
3,4.814306627793246,4.886474684105606,MLP,2-Oxoglutaric acid,-H,9AA,negative,1
4,5.641773056029051,4.518098235658259,MLP,Lyso PI 17:1,-H,9AA,negative,1
5,4.952913805825025,4.06165581111151,MLP,PG 16:0-18:1,-H,9AA,negative,1
6,5.577610157677287,5.251352565291214,MLP,"Fructose 1,6-bisphosphate",-H,9AA,negative,1
7,5.087021412007154,5.033664285847186,MLP,Glucose 6-phosphate,-H,9AA,negative,1
8,3.6014676006840505,3.120748820819382,MLP,Serine,-H,9AA,negative,1
9,2.971589091277522,2.9081974842872853,MLP,gamma-Aminobutyric acid,-H,9AA,negative,1
10,3.508502825546985,3.2851958163097583,MLP,GlcCer d18:1/18:0,-H,9AA,negative,1
11,3.40681419340028,3.125561064113538,MLP,Adenine,-H,9AA,negative,1
12,5.33188795094239,3.607978798140842,MLP,Lyso PE 18:0,-H,9AA,negative,1
13,4.861136433937232,3.2572883828443455,MLP,Xanthine,-H,9AA,negative,1
14,4.078243606162822,3.2639258918057337,MLP,Histidine,-H,9AA,negative,1
15,5.544729838944959,4.583870491079855,MLP,Oxidized glutathione,-H,9AA,negative,1
16,3.77568616081301,2.8243845060462283,MLP,Pyridoxine,-H,9AA,negative,1
17,0.0,3.2522547054823328,MLP,Retinoic acid,-H,9AA,negative,1
18,0.0,3.274709935549219,MLP,Palmitic acid,-H,9AA,negative,1
19,0.0,2.9073657289538213,MLP,Agmatine,-H,9AA,negative,1
20,0.0,2.077486807018623,MLP,Choline,-H,9AA,negative,1
21,0.0,2.126277285372424,MLP,Malic acid,+Cl,9AA,negative,1
22,0.0,2.614384785200447,MLP,Oxalacetic acid,+Cl,9AA,negative,1
23,0.0,2.1554232525694035,MLP,N-Acetylaspartic acid,+Cl,9AA,negative,1
24,0.0,2.3053589490927653,MLP,Ascorbic acid,+Cl,9AA,negative,1
25,0.0,2.4578855716106895,MLP,cis-Aconitic acid,+Cl,9AA,negative,1
26,0.0,2.3172878973282462,MLP,Citric acid,+Cl,9AA,negative,1
27,0.0,2.3280595699541404,MLP,Adenosine diphosphate,+Cl,9AA,negative,1
28,0.0,1.908917496827305,MLP,6-Phosphogluconic acid,+Cl,9AA,negative,1
29,0.0,2.077439279882771,MLP,3-Phosphoglyceric acid,+Cl,9AA,negative,1
30,0.0,2.2880755837468945,MLP,Phosphoenolpyruvic acid,+Cl,9AA,negative,1
31,0.0,1.900549223007533,MLP,Dihydroxyacetone phosphate,+Cl,9AA,negative,1
32,0.0,2.612422460842375,MLP,Cholic acid,+Cl,9AA,negative,1
33,0.0,1.9440920760055656,MLP,Aspartic acid,+Cl,9AA,negative,1
34,0.0,1.7987167498167855,MLP,Serine,+Cl,9AA,negative,1
35,0.0,2.1303284078520153,MLP,gamma-Aminobutyric acid,+Cl,9AA,negative,1
36,0.0,2.706352282464083,MLP,Lyso PE 18:0,+Cl,9AA,negative,1
37,0.0,2.1828057439008712,MLP,Histidine,+Cl,9AA,negative,1
38,0.0,1.9928969975371913,MLP,Oxidized glutathione,+Cl,9AA,negative,1
39,0.0,2.2709267249855003,MLP,Argininosuccinic acid,+Cl,9AA,negative,1
40,0.0,1.7137167358311682,MLP,Quinolinic acid,+Cl,9AA,negative,1
41,0.0,2.586978240304254,MLP,Hypoxanthine,+Cl,9AA,negative,1
42,0.0,1.9104583323487694,MLP,Coenzyme A,+Cl,9AA,negative,1
43,0.0,2.4326785873937813,MLP,Creatinine,+Cl,9AA,negative,1
0,5.187259868417889,4.99784611073925,MLP,Myo-inositol 1-phosphate,-H,9AA,negative,2
1,4.851807597865303,5.11076688952833,MLP,Malonic acid,-H,9AA,negative,2
2,4.987449242191788,4.822976109776036,MLP,PI 16:0-18:1,-H,9AA,negative,2
3,4.78146499660177,4.8218048426532585,MLP,Succinic acid,-H,9AA,negative,2
4,4.723556475765371,4.550298197140891,MLP,Glycerol 3-phosphate,-H,9AA,negative,2
5,4.865973351827255,4.989701220929522,MLP,Ribulose 5-phosphate,-H,9AA,negative,2
6,4.714115980594938,4.143168924187947,MLP,Gluconic acid,-H,9AA,negative,2
7,4.279287089640111,3.843440825378311,MLP,Mevalonic acid,-H,9AA,negative,2
8,4.443890343962045,4.519208718458921,MLP,Argininosuccinic acid,-H,9AA,negative,2
9,4.404749585288414,4.872891904141424,MLP,Quinolinic acid,-H,9AA,negative,2
10,4.8677908785114905,4.675519394528392,MLP,Glucosamine 6-phosphate,-H,9AA,negative,2
11,3.588718548033654,3.3846298219886264,MLP,Hypoxanthine,-H,9AA,negative,2
12,3.7815044163374036,3.4913388440580904,MLP,Arginine,-H,9AA,negative,2
13,3.8008710262539327,5.148603330827139,MLP,Coenzyme A,-H,9AA,negative,2
14,2.5329693079368925,3.916796419908699,MLP,Cytosine,-H,9AA,negative,2
15,3.328813314275123,3.0056044798226114,MLP,Creatinine,-H,9AA,negative,2
16,3.4808243581367546,4.969204753271785,MLP,Phosphocreatine,-H,9AA,negative,2
17,0.0,2.726082259960687,MLP,2-Oxoglutaric acid,+Cl,9AA,negative,2
18,0.0,2.271141056849835,MLP,Lyso PI 17:1,+Cl,9AA,negative,2
19,0.0,2.7742201896657863,MLP,PG 16:0-18:1,+Cl,9AA,negative,2
20,0.0,1.8490868763345354,MLP,"Fructose 1,6-bisphosphate",+Cl,9AA,negative,2
21,0.0,2.7792673679902866,MLP,Malonic acid,+Cl,9AA,negative,2
22,0.0,2.3573975841181922,MLP,PI 16:0-18:1,+Cl,9AA,negative,2
23,0.0,2.6970306758696596,MLP,Fumaric acid,+Cl,9AA,negative,2
24,0.0,2.6193883947669097,MLP,Succinic acid,+Cl,9AA,negative,2
25,0.0,1.7221747269351348,MLP,Gluconic acid,+Cl,9AA,negative,2
26,0.0,2.418053464548135,MLP,Cardiolipin 18:1,+Cl,9AA,negative,2
27,0.0,1.6742425344005671,MLP,PI(5)P 18:1,+Cl,9AA,negative,2
28,0.0,2.6450742419171234,MLP,Lyso PG 16:0,+Cl,9AA,negative,2
29,0.0,2.1891052789210086,MLP,Ureidosuccinic acid,+Cl,9AA,negative,2
30,0.0,2.0585251610957402,MLP,Creatine,+Cl,9AA,negative,2
31,0.0,1.8364820433893496,MLP,Nicotinic acid,+Cl,9AA,negative,2
32,0.0,1.8230985654305867,MLP,Acetyl-CoA,+Cl,9AA,negative,2
33,0.0,2.171045413540082,MLP,Taurocholic acid,+Cl,9AA,negative,2
34,0.0,2.395731614284973,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",+Cl,9AA,negative,2
35,0.0,2.369939962082068,MLP,Nicotinamide adenine dinucleotide (NAD),+Cl,9AA,negative,2
36,0.0,1.9555697425760548,MLP,N-Acetylgalactosamine 6-phosphate,+Cl,9AA,negative,2
37,0.0,2.139775146374534,MLP,Sulfo GalCer 18:0(2S-OH),+Cl,9AA,negative,2
38,0.0,1.954484675135707,MLP,Tetrahydrofolic acid,+Cl,9AA,negative,2
39,0.0,1.7785333165955308,MLP,Palmitoyl-CoA,+Cl,9AA,negative,2
40,0.0,2.1156112399118174,MLP,Flavin adenine dinucleotide,+Cl,9AA,negative,2
41,0.0,2.3463584767794665,MLP,Thiamine,+Cl,9AA,negative,2
42,0.0,1.2360909151119062,MLP,Proline,+Cl,9AA,negative,2
43,0.0,1.727927824969801,MLP,Valine,+Cl,9AA,negative,2
0,3.1003127042707233,5.512478323832027,MLP,Cardiolipin 18:1,-H,9AA,negative,3
1,4.6599629341036595,5.303931960721114,MLP,PI(5)P 18:1,-H,9AA,negative,3
2,5.881912850711523,4.429099422875818,MLP,Lyso PG 16:0,-H,9AA,negative,3
3,4.123799587817361,4.9472568230837775,MLP,GM3 Ganglioside 18:0,-H,9AA,negative,3
4,4.4688236998641875,4.934560456304847,MLP,Ureidosuccinic acid,-H,9AA,negative,3
5,4.970731944203777,4.400021106165599,MLP,"4,5-Dihydroorotic acid",-H,9AA,negative,3
6,3.602995538986097,4.40443183973526,MLP,Orotic acid,-H,9AA,negative,3
7,5.077807537596156,5.447046801385688,MLP,Uridine diphosphate glucuronic acid,-H,9AA,negative,3
8,2.4591754069110547,3.315950807838714,MLP,Creatine,-H,9AA,negative,3
9,4.52963964824184,3.332153056426149,MLP,Urocanic acid,-H,9AA,negative,3
10,2.2674771999350427,3.75632637923097,MLP,SM d18:1-16:0,-H,9AA,negative,3
11,5.311557557961862,5.146394132650028,MLP,Acetyl-CoA,-H,9AA,negative,3
12,5.992546007079303,5.170068821552225,MLP,Taurocholic acid,-H,9AA,negative,3
13,5.15376747032566,5.338173952518134,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",-H,9AA,negative,3
14,3.443186028353215,3.2644168347642273,MLP,N-Acetylglucosamine,-H,9AA,negative,3
15,4.488955451051042,5.09019471407873,MLP,N-Acetylgalactosamine 6-phosphate,-H,9AA,negative,3
16,3.3680306592855205,2.8539309229291385,MLP,4-Hydroxyproline,-H,9AA,negative,3
17,0.0,2.3165762366160574,MLP,Orotic acid,+Cl,9AA,negative,3
18,0.0,2.1215092777031197,MLP,Uridine diphosphate glucose,+Cl,9AA,negative,3
19,0.0,2.287485692012491,MLP,5-Hydroxyindoleacetic acid,+Cl,9AA,negative,3
20,0.0,2.144472391662217,MLP,Uridine diphosphate-N-acetylglucosamine,+Cl,9AA,negative,3
21,0.0,2.317833756661307,MLP,Uridine diphosphate,+Cl,9AA,negative,3
22,0.0,2.750955915951395,MLP,Thymine,+Cl,9AA,negative,3
23,0.0,2.0846227991045705,MLP,Flavin mononucleotide,+Cl,9AA,negative,3
24,0.0,2.679729138954439,MLP,Pantetheine,+Cl,9AA,negative,3
25,0.0,2.80090902919593,MLP,Guanine,+Cl,9AA,negative,3
26,0.0,2.9041120546291874,MLP,Butyric acid,+Cl,9AA,negative,3
27,0.0,2.251615400032202,MLP,3-Hydroxymethylglutaric acid,+Cl,9AA,negative,3
28,0.0,2.581144844853311,MLP,PE 18:0-20:4,+Cl,9AA,negative,3
29,0.0,2.401997465296824,MLP,Nicotinamide ribotide,+Cl,9AA,negative,3
30,0.0,2.4965746371588793,MLP,Ribulose,+Cl,9AA,negative,3
31,0.0,2.2735174315099735,MLP,Ornithine,+Cl,9AA,negative,3
32,0.0,1.915132417575588,MLP,Glycine,+Cl,9AA,negative,3
33,0.0,2.305741958975133,MLP,Asparagine,+Cl,9AA,negative,3
34,0.0,2.171434830762993,MLP,Tyrosine,+Cl,9AA,negative,3
35,0.0,2.169010851297421,MLP,Folic acid,+Cl,9AA,negative,3
36,0.0,2.6741186840789233,MLP,Acetoacetic acid,+Cl,9AA,negative,3
37,0.0,2.4139693536749105,MLP,Cyclic adenosine monophosphate,+Cl,9AA,negative,3
38,0.0,2.3854959183420634,MLP,Serotonin,+Cl,9AA,negative,3
39,0.0,2.2976089423543145,MLP,Tryptophan,+Cl,9AA,negative,3
40,0.0,2.3038294814933744,MLP,Glutathione,+Cl,9AA,negative,3
41,0.0,2.1945788979406737,MLP,Cytidine monophosphate,+Cl,9AA,negative,3
42,0.0,1.8805250011992074,MLP,Methionine,+Cl,9AA,negative,3
